"tips","max_crep","Order","Family","Genus"
"Sigmodon_arizonae","cathemeral","Rodentia","Cricetidae","Sigmodon"
"Sigmodon_fulviventer","cathemeral","Rodentia","Cricetidae","Sigmodon"
"Sigmodon_hirsutus","diurnal","Rodentia","Cricetidae","Sigmodon"
"Sigmodon_hispidus","cathemeral","Rodentia","Cricetidae","Sigmodon"
"Sigmodon_inopinatus","cathemeral","Rodentia","Cricetidae","Sigmodon"
"Sigmodon_leucotis","cathemeral","Rodentia","Cricetidae","Sigmodon"
"Sigmodon_mascotensis","cathemeral","Rodentia","Cricetidae","Sigmodon"
"Sigmodon_ochrognathus","cathemeral","Rodentia","Cricetidae","Sigmodon"
"Sigmodon_peruanus","cathemeral","Rodentia","Cricetidae","Sigmodon"
"Sigmodon_planifrons","cathemeral","Rodentia","Cricetidae","Sigmodon"
"Sigmodon_toltecus","cathemeral","Rodentia","Cricetidae","Sigmodon"
"Sigmodontomys_alfari","nocturnal","Rodentia","Cricetidae","Sigmodontomys"
"Simias_concolor","diurnal","Primates","Cercopithecidae","Simias"
"Sminthopsis_aitkeni","nocturnal","Dasyuromorphia","Dasyuridae","Sminthopsis"
"Sminthopsis_archeri","nocturnal","Dasyuromorphia","Dasyuridae","Sminthopsis"
"Sminthopsis_bindi","nocturnal","Dasyuromorphia","Dasyuridae","Sminthopsis"
"Sminthopsis_butleri","nocturnal","Dasyuromorphia","Dasyuridae","Sminthopsis"
"Sminthopsis_crassicaudata","nocturnal","Dasyuromorphia","Dasyuridae","Sminthopsis"
"Sminthopsis_dolichura","nocturnal","Dasyuromorphia","Dasyuridae","Sminthopsis"
"Sminthopsis_douglasi","nocturnal","Dasyuromorphia","Dasyuridae","Sminthopsis"
"Sminthopsis_fuliginosus","nocturnal","Dasyuromorphia","Dasyuridae","Sminthopsis"
"Sminthopsis_gilberti","nocturnal","Dasyuromorphia","Dasyuridae","Sminthopsis"
"Sminthopsis_granulipes","nocturnal","Dasyuromorphia","Dasyuridae","Sminthopsis"
"Sminthopsis_griseoventer","nocturnal","Dasyuromorphia","Dasyuridae","Sminthopsis"
"Sminthopsis_hirtipes","nocturnal","Dasyuromorphia","Dasyuridae","Sminthopsis"
"Sminthopsis_leucopus","nocturnal","Dasyuromorphia","Dasyuridae","Sminthopsis"
"Sminthopsis_longicaudata","nocturnal","Dasyuromorphia","Dasyuridae","Sminthopsis"
"Sminthopsis_macroura","nocturnal","Dasyuromorphia","Dasyuridae","Sminthopsis"
"Sminthopsis_murina","nocturnal","Dasyuromorphia","Dasyuridae","Sminthopsis"
"Sminthopsis_ooldea","nocturnal","Dasyuromorphia","Dasyuridae","Sminthopsis"
"Sminthopsis_psammophila","nocturnal","Dasyuromorphia","Dasyuridae","Sminthopsis"
