"","Species_name","Diel_Pattern_1","Diel_Pattern_2","Diel_Pattern_3","Diel_Pattern_4","tips"
"Philantomba monticola","Philantomba monticola","diurnal","diurnal","diurnal","diurnal","Philantomba_monticola"
"Potamochoerus larvatus","Potamochoerus larvatus","nocturnal","nocturnal","nocturnal","nocturnal","Potamochoerus_larvatus"
"Potamochoerus porcus","Potamochoerus porcus","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Potamochoerus_porcus"
"Procapra gutturosa","Procapra gutturosa",NA,"cathemeral","cathemeral","cathemeral","Procapra_gutturosa"
"Pseudois nayaur","Pseudois nayaur","diurnal","diurnal","diurnal","diurnal","Pseudois_nayaur"
"Pseudois schaeferi","Pseudois schaeferi","diurnal","diurnal","diurnal","diurnal","Pseudois_schaeferi"
"Pudu puda","Pudu puda","nocturnal","nocturnal","nocturnal","nocturnal","Pudu_puda"
"Rangifer tarandus","Rangifer tarandus",NA,"cathemeral","cathemeral","cathemeral","Rangifer_tarandus"
"Raphicerus campestris","Raphicerus campestris","diurnal","diurnal","diurnal","diurnal","Raphicerus_campestris"
"Raphicerus melanotis","Raphicerus melanotis","nocturnal","nocturnal","nocturnal","nocturnal","Raphicerus_melanotis"
"Raphicerus sharpei","Raphicerus sharpei","nocturnal","nocturnal","nocturnal","nocturnal","Raphicerus_sharpei"
"Redunca arundinum","Redunca arundinum",NA,"cathemeral","cathemeral","cathemeral","Redunca_arundinum"
"Redunca fulvorufula","Redunca fulvorufula","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Redunca_fulvorufula"
"Redunca redunca","Redunca redunca",NA,"cathemeral","cathemeral","cathemeral","Redunca_redunca"
"Rucervus duvaucelii","Rucervus duvaucelii",NA,"cathemeral","cathemeral","cathemeral","Rucervus_duvaucelii"
"Rucervus eldii","Rucervus eldii",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Rucervus_eldii"
"Rupicapra pyrenaica","Rupicapra pyrenaica","diurnal","diurnal","diurnal","diurnal","Rupicapra_pyrenaica"
"Rupicapra rupicapra","Rupicapra rupicapra","diurnal","diurnal","diurnal","diurnal","Rupicapra_rupicapra"
"Rusa timorensis","Rusa timorensis","nocturnal","nocturnal","nocturnal","nocturnal","Rusa_timorensis"
"Rusa unicolor","Rusa unicolor","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Rusa_unicolor"
