"","search_string","unique_name","approximate_match","ott_id","is_synonym","flags","number_matches","tips","genus","family","order","diel","diel2","diel_confidence","genome","NEW"
"2723","isopsetta isolepis","Isopsetta isolepis",FALSE,831497,FALSE,"",1,"Isopsetta_isolepis","Isopsetta","Pleuronectidae","Pleuronectiformes","diurnal","diurnal",2,"","NEW_SPECIES"
"2724","istiblennius edentulus","Istiblennius edentulus",FALSE,702700,FALSE,"",1,"Istiblennius_edentulus","Istiblennius","Blenniidae","Blenniiformes","nocturnal","nocturnal",4,"","NEW_SPECIES"
"2725","istiblennius enosimae","Istiblennius enosimae",FALSE,7063368,FALSE,"",2,"Istiblennius_enosimae",NA,NA,NA,"nocturnal","nocturnal",4,"","NEW_SPECIES"
"2726","istiblennius zebra","Istiblennius zebra",FALSE,3639410,FALSE,"",1,"Istiblennius_zebra","Istiblennius","Blenniidae","Blenniiformes","diurnal","diurnal",2,"",""
"2727","istigobius decoratus","Istigobius decoratus",FALSE,17363,FALSE,"",1,"Istigobius_decoratus","Istigobius","Gobiidae","Gobiiformes","diurnal","diurnal",2,"",""
"2728","istigobius goldmanni","Istigobius goldmanni",FALSE,3637200,FALSE,"",1,"Istigobius_goldmanni","Istigobius","Gobiidae","Gobiiformes","diurnal","diurnal",1,"","NEW_SPECIES"
"2729","istigobius rigilius","Istigobius rigilius",FALSE,99401,FALSE,"",1,"Istigobius_rigilius","Istigobius","Gobiidae","Gobiiformes","diurnal","diurnal",1,"","NEW_SPECIES"
"2730","istiompax indica","Istiompax indica",FALSE,696430,FALSE,"",1,"Istiompax_indica","Istiompax","Istiophoridae","Carangiformes","diurnal","diurnal",4,"",""
"2731","istiophorus albicans","Istiophorus albicans",FALSE,984924,FALSE,"",1,"Istiophorus_albicans","Istiophorus","Istiophoridae","Carangiformes","unclear","unknown",1,"","NEW_SPECIES"
"2732","istiophorus platypterus","Istiophorus platypterus",FALSE,545842,FALSE,"",1,"Istiophorus_platypterus","Istiophorus","Istiophoridae","Carangiformes","crepuscular/diurnal","crepuscular",4,"",""
"2733","isurus oxyrinchus","Isurus oxyrinchus",FALSE,73672,FALSE,"",1,"Isurus_oxyrinchus","Isurus","Lamnidae","Lamniformes","diurnal","diurnal",4,"",""
"2734","ituglanis amazonicus","Ituglanis amazonicus",FALSE,3622308,FALSE,"",1,"Ituglanis_amazonicus","Ituglanis","Trichomycteridae","Siluriformes","nocturnal","nocturnal",1,"","NEW_SPECIES"
"2735","ituglanis herberti","Ituglanis herberti",FALSE,3622295,FALSE,"",1,"Ituglanis_herberti","Ituglanis","Trichomycteridae","Siluriformes","crepuscular/nocturnal","crepuscular",4,"","NEW_SPECIES"
"2736","jaydia queketti","Jaydia queketti",FALSE,1032721,FALSE,"",1,"Jaydia_queketti","Jaydia","Apogonidae","Kurtiformes","crepuscular/nocturnal","crepuscular",1,"","NEW_SPECIES"
