Binomial_iucn,Order,Family,Genus,Species,Common_name,Activity_DD,Activity_IM,Activity_source,Flexible_DD,Flexible_IM,Flexible_source,,
Akodon mystax,Rodentia,Cricetidae,Akodon,mystax,Capara Akodont,Cathemeral,Cathemeral,2,0,0,1,,
Akodon neocenus,Rodentia,Cricetidae,Akodon,neocenus,Unknown,Nocturnal,Nocturnal,1,0,0,1,,
Akodon oenos,Rodentia,Cricetidae,Akodon,oenos,Unknown,Nocturnal,Nocturnal,1,0,0,1,,
Akodon orophilus,Rodentia,Cricetidae,Akodon,orophilus,El Dorado Grass Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Akodon paranaensis,Rodentia,Cricetidae,Akodon,paranaensis,Paran Akodont,Cathemeral,Cathemeral,2,0,0,1,,
Akodon pervalens,Rodentia,Cricetidae,Akodon,pervalens,Tarija Akodont,Cathemeral,Cathemeral,2,0,0,1,,
Akodon philipmyersi,Rodentia,Cricetidae,Akodon,philipmyersi,Unknown,Nocturnal,Nocturnal,1,0,0,1,,
Akodon reigi,Rodentia,Cricetidae,Akodon,reigi,Reig Akodont,Nocturnal,Nocturnal,1,0,0,1,,
Akodon sanctipaulensis,Rodentia,Cricetidae,Akodon,sanctipaulensis,Sao Paulo Grass Mouse,Cathemeral,Cathemeral,2,0,0,1,,
Akodon serrensis,Rodentia,Cricetidae,Akodon,serrensis,Serrado Do Mar Grass Mouse,Cathemeral,Cathemeral,2,0,0,1,,
Akodon siberiae,Rodentia,Cricetidae,Akodon,siberiae,Cochabamba Grass Mouse,Cathemeral,Cathemeral,2,0,0,1,,
Akodon simulator,Rodentia,Cricetidae,Akodon,simulator,Gray-bellied Grass Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Akodon spegazzinii,Rodentia,Cricetidae,Akodon,spegazzinii,Spegazzini's Grass Mouse,Nocturnal,Nocturnal,1,1,1,1,,
Akodon subfuscus,Rodentia,Cricetidae,Akodon,subfuscus,Puno Grass Mouse,Cathemeral,Cathemeral,2,0,0,1,,
Akodon surdus,Rodentia,Cricetidae,Akodon,surdus,Silent Grass Mouse,Cathemeral,Cathemeral,2,0,0,1,,
Akodon sylvanus,Rodentia,Cricetidae,Akodon,sylvanus,Forest Grass Mouse,Cathemeral,Cathemeral,2,0,0,1,,
Akodon toba,Rodentia,Cricetidae,Akodon,toba,Chaco Grass Mouse,Cathemeral,Cathemeral,2,0,0,1,,
Akodon torques,Rodentia,Cricetidae,Akodon,torques,Cloud Forest Grass Mouse,Cathemeral,Cathemeral,2,0,0,1,,
Akodon varius,Rodentia,Cricetidae,Akodon,varius,Variable Grass Mouse,Cathemeral,Cathemeral,2,0,0,1,,
Alcelaphus buselaphus,Cetartiodactyla,Bovidae,Alcelaphus,buselaphus,Hartebeest,Diurnal,Diurnal,1,1,1,1,,
Alces alces,Cetartiodactyla,Cervidae,Alces,alces,Moose,Cathemeral,Cathemeral,1,1,1,1,,
Alionycteris paucidentata,Chiroptera,Pteropodidae,Alionycteris,paucidentata,Mindanao Pygmy Fruit Bat,Nocturnal,Nocturnal,1,0,0,1,,
Allactaga balikunica,Rodentia,Dipodidae,Allactaga,balikunica,Balikun Jerboa,Nocturnal,Nocturnal,1,0,0,1,,
Allactaga bullata,Rodentia,Dipodidae,Allactaga,bullata,Gobi Jerboa,Nocturnal,Nocturnal,1,0,0,1,,
Allactaga elater,Rodentia,Dipodidae,Allactaga,elater,Small Five-toed Jerboa,Nocturnal,Nocturnal,1,1,1,1,,
Allactaga euphratica,Rodentia,Dipodidae,Allactaga,euphratica,Euphrates Jerboa,Nocturnal,Nocturnal,1,0,0,1,,
Allactaga firouzi,Rodentia,Dipodidae,Allactaga,firouzi,Iranian Jerboa,Nocturnal,Nocturnal,2,0,0,1,,
Allactaga hotsoni,Rodentia,Dipodidae,Allactaga,hotsoni,Hotson's Five-toed Jerboa,Nocturnal,Nocturnal,1,0,0,1,,
Allactaga major,Rodentia,Dipodidae,Allactaga,major,Great Jerboa,Nocturnal,Nocturnal,1,0,0,1,,
Allactaga severtzovi,Rodentia,Dipodidae,Allactaga,severtzovi,Svertzov's Jerboa,Nocturnal,Nocturnal,1,0,0,1,,
Allactaga sibirica,Rodentia,Dipodidae,Allactaga,sibirica,Siberian Jerboa,Nocturnal,Nocturnal,1,1,1,1,,
Allactaga tetradactyla,Rodentia,Dipodidae,Allactaga,tetradactyla,Four-toed Jerboa,Nocturnal,Nocturnal,1,0,0,1,,
Allactaga vinogradovi,Rodentia,Dipodidae,Allactaga,vinogradovi,Vinogradov's Jerboa,Nocturnal,Nocturnal,1,0,0,1,,
Allactaga williamsi,Rodentia,Dipodidae,Allactaga,williamsi,Williams's Jerboa,Nocturnal,Nocturnal,1,0,0,1,,
Allactodipus bobrinskii,Rodentia,Dipodidae,Allactodipus,bobrinskii,Bobrinski's Jerboa,Nocturnal,Nocturnal,1,0,0,1,,
Allenopithecus nigroviridis,Primates,Cercopithecidae,Allenopithecus,nigroviridis,Allen's Swamp Monkey,Diurnal,Diurnal,1,0,0,1,,
Allocebus trichotis,Primates,Cheirogaleidae,Allocebus,trichotis,Hairy-eared Dwarf Lemur,Nocturnal,Nocturnal,1,0,0,1,,
Allochrocebus lhoesti,Primates,Cercopithecidae,Allochrocebus,lhoesti,L'Hoest's Monkey,Diurnal,Diurnal,1,0,0,1,,
Allochrocebus preussi,Primates,Cercopithecidae,Allochrocebus,preussi,Preuss's Monkey,Diurnal,Diurnal,1,0,0,1,,
Allochrocebus solatus,Primates,Cercopithecidae,Allochrocebus,solatus,Sun-tailed Monkey,Diurnal,Diurnal,1,0,0,1,,
Allocricetulus curtatus,Rodentia,Cricetidae,Allocricetulus,curtatus,Mongolian Hamster,Nocturnal,Nocturnal,1,1,1,1,,
Allocricetulus eversmanni,Rodentia,Cricetidae,Allocricetulus,eversmanni,Eversmann's Hamster,Nocturnal,Nocturnal,1,1,1,1,,
Alouatta arctoidea,Primates,Atelidae,Alouatta,arctoidea,Ursine Howler Monkey,Diurnal,Diurnal,1,0,0,1,,
Alouatta belzebul,Primates,Atelidae,Alouatta,belzebul,Red-handed Howler Monkey,Diurnal,Diurnal,1,1,1,1,,
Alouatta caraya,Primates,Atelidae,Alouatta,caraya,Black-and-gold Howler Monkey,Diurnal,Diurnal,1,0,0,1,,
Alouatta discolor,Primates,Atelidae,Alouatta,discolor,Spix's Red-handed Howler Monkey,Diurnal,Diurnal,1,0,0,1,,
Alouatta guariba,Primates,Atelidae,Alouatta,guariba,Brown Howler Monkey,Diurnal,Diurnal,1,0,0,1,,
Alouatta macconnelli,Primates,Atelidae,Alouatta,macconnelli,Guianan Red Howler Monkey,Diurnal,Diurnal,1,0,0,1,,
Alouatta nigerrima,Primates,Atelidae,Alouatta,nigerrima,Black Howler Monkey,Diurnal,Diurnal,1,0,0,1,,
Alouatta palliata,Primates,Atelidae,Alouatta,palliata,Mantled Howler Monkey,Diurnal,Diurnal,1,0,0,1,,
Alouatta pigra,Primates,Atelidae,Alouatta,pigra,Yucatan Black Howler Monkey,Diurnal,Diurnal,1,0,0,1,,
Alouatta sara,Primates,Atelidae,Alouatta,sara,Bolivian Red Howler Monkey,Diurnal,Diurnal,2,0,0,1,,
Alouatta seniculus,Primates,Atelidae,Alouatta,seniculus,Colombia red howler,Diurnal,Diurnal,1,0,0,1,,
Alouatta ululata,Primates,Atelidae,Alouatta,ululata,Maranh Red-handed Howler Monkey,NA,Diurnal,Imputed,NA,0,Imputed,,
Alticola albicaudus,Rodentia,Cricetidae,Alticola,albicaudus,White-tailed Mountain Vole,Cathemeral,Cathemeral,29,0,0,1,,
Alticola argentatus,Rodentia,Cricetidae,Alticola,argentatus,Silver Mountain Vole,Diurnal,Diurnal,1,0,0,1,,
Alticola barakshin,Rodentia,Cricetidae,Alticola,barakshin,Gobi Altai Mountain Vole,Nocturnal,Nocturnal,1,0,0,1,,
Alticola lemminus,Rodentia,Cricetidae,Alticola,lemminus,Lemming Vole,Cathemeral,Cathemeral,1,0,0,1,,
Alticola macrotis,Rodentia,Cricetidae,Alticola,macrotis,Large-eared Vole,Cathemeral,Cathemeral,1,0,0,1,,
Alticola montosa,Rodentia,Cricetidae,Alticola,montosa,Central Kashmir Vole,Diurnal,Diurnal,30,0,0,1,,
Alticola olchonensis,Rodentia,Cricetidae,Alticola,olchonensis,Olkhon Mountain Vole,Cathemeral,Cathemeral,29,0,0,1,,
Alticola roylei,Rodentia,Cricetidae,Alticola,roylei,Royle's Mountain Vole,Diurnal,Diurnal,25,0,0,1,,
Alticola semicanus,Rodentia,Cricetidae,Alticola,semicanus,Mongolian Silver Vole,Nocturnal,Nocturnal,1,1,1,1,,
Alticola stoliczkanus,Rodentia,Cricetidae,Alticola,stoliczkanus,Stoliczka's Mountain Vole,Nocturnal,Nocturnal,1,0,0,1,,
Alticola strelzowi,Rodentia,Cricetidae,Alticola,strelzowi,Flat-headed Vole,Cathemeral,Cathemeral,1,0,0,1,,
Alticola tuvinicus,Rodentia,Cricetidae,Alticola,tuvinicus,Tuva Silver Vole,Cathemeral,Cathemeral,40,0,0,1,,
Ametrida centurio,Chiroptera,Phyllostomidae,Ametrida,centurio,Little White-shouldered Bat,Nocturnal,Nocturnal,1,0,0,1,,
Ammodillus imbellis,Rodentia,Muridae,Ammodillus,imbellis,Ammodile,Nocturnal,Nocturnal,1,0,0,1,,
Ammodorcas clarkei,Cetartiodactyla,Bovidae,Ammodorcas,clarkei,Dibatag,Diurnal,Diurnal,1,0,0,1,,
Ammospermophilus harrisii,Rodentia,Sciuridae,Ammospermophilus,harrisii,Harris's Antelope Squirrel,Diurnal,Diurnal,1,0,0,1,,
Ammospermophilus interpres,Rodentia,Sciuridae,Ammospermophilus,interpres,Texas Antelope Squirrel,Diurnal,Diurnal,1,0,0,1,,
Ammospermophilus leucurus,Rodentia,Sciuridae,Ammospermophilus,leucurus,White-tailed Antelope Squirrel,Diurnal,Diurnal,1,0,0,1,,
Ammospermophilus nelsoni,Rodentia,Sciuridae,Ammospermophilus,nelsoni,Nelson's Antelope Squirrel,Diurnal,Diurnal,1,0,0,1,,
Ammotragus lervia,Cetartiodactyla,Bovidae,Ammotragus,lervia,Aoudad,Diurnal,Diurnal,1,1,1,1,,
Amorphochilus schnablii,Chiroptera,Furipteridae,Amorphochilus,schnablii,Smoky Bat,Nocturnal,Nocturnal,1,0,0,1,,
Amphinectomys savamis,Rodentia,Cricetidae,Amphinectomys,savamis,Ucayali Water Rat,NA,Nocturnal,Imputed,NA,0,Imputed,,
Anathana ellioti,Scandentia,Tupaiidae,Anathana,ellioti,Madras Treeshrew,Diurnal,Diurnal,1,0,0,1,,
Andalgalomys olrogi,Rodentia,Cricetidae,Andalgalomys,olrogi,Olrog's Pericote,Nocturnal,Nocturnal,1,0,0,1,,
Andalgalomys pearsoni,Rodentia,Cricetidae,Andalgalomys,pearsoni,Pearson's Chaco Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Andinomys edax,Rodentia,Cricetidae,Andinomys,edax,Andean Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Anisomys imitator,Rodentia,Muridae,Anisomys,imitator,Uneven-toothed Rat,Nocturnal,Nocturnal,1,0,0,1,,
Anomalurus beecrofti,Rodentia,Anomaluridae,Anomalurus,beecrofti,Beecroft's Scaly-tailed Squirrel,Nocturnal,Nocturnal,1,0,0,1,,
Anomalurus derbianus,Rodentia,Anomaluridae,Anomalurus,derbianus,Lord Derby's Scaly-tailed Squirrel,Nocturnal,Nocturnal,1,0,0,1,,
Anomalurus pelii,Rodentia,Anomaluridae,Anomalurus,pelii,Pel's Flying Squirrel,Nocturnal,Nocturnal,1,0,0,1,,
Anomalurus pusillus,Rodentia,Anomaluridae,Anomalurus,pusillus,Dwarf Scaly-tailed Squirrel,Nocturnal,Nocturnal,2,0,0,1,,
Anonymomys mindorensis,Rodentia,Muridae,Anonymomys,mindorensis,Mindoro Forest Anonymomys,Nocturnal,Nocturnal,1,0,0,1,,
Anotomys leander,Rodentia,Cricetidae,Anotomys,leander,Ecuadoran Ichthyomyine,Nocturnal,Nocturnal,1,0,0,1,,
Anoura caudifer,Chiroptera,Phyllostomidae,Anoura,caudifer,Tailed Tailless Bat,Nocturnal,Nocturnal,1,0,0,1,,
Anoura cultrata,Chiroptera,Phyllostomidae,Anoura,cultrata,Handley's Tailless Bat,Nocturnal,Nocturnal,1,0,0,1,,
Anoura fistulata,Chiroptera,Phyllostomidae,Anoura,fistulata,Tube-lipped Tailless Bat,Nocturnal,Nocturnal,1,0,0,1,,
Anoura geoffroyi,Chiroptera,Phyllostomidae,Anoura,geoffroyi,Geoffroy's Tailless Bat,Nocturnal,Nocturnal,1,0,0,1,,
Anoura latidens,Chiroptera,Phyllostomidae,Anoura,latidens,Broad-toothed Tailless Bat,Nocturnal,Nocturnal,1,0,0,1,,
Anoura luismanueli,Chiroptera,Phyllostomidae,Anoura,luismanueli,Luis Manuel's Tailless Bat,Nocturnal,Nocturnal,1,0,0,1,,
Anourosorex assamensis,Eulipotyphla,Soricidae,Anourosorex,assamensis,Assam Mole Shrew,Nocturnal,Nocturnal,1,0,0,1,,
Anourosorex schmidi,Eulipotyphla,Soricidae,Anourosorex,schmidi,Giant Mole Shrew,NA,Nocturnal,Imputed,NA,0,Imputed,,
Anourosorex squamipes,Eulipotyphla,Soricidae,Anourosorex,squamipes,Mole-shrew,Nocturnal,Nocturnal,1,0,0,1,,
Anourosorex yamashinai,Eulipotyphla,Soricidae,Anourosorex,yamashinai,Taiwanese Mole Shrew,Nocturnal,Nocturnal,1,0,0,1,,
Antechinomys laniger,Dasyuromorphia,Dasyuridae,Antechinomys,laniger,Kultarr,Nocturnal,Nocturnal,1,0,0,1,,
Antechinus adustus,Dasyuromorphia,Dasyuridae,Antechinus,adustus,Rusty Antechinus,Diurnal,Diurnal,1,1,1,1,,
Antechinus agilis,Dasyuromorphia,Dasyuridae,Antechinus,agilis,Agile Antechinus,Nocturnal,Nocturnal,1,1,1,1,,
Antechinus bellus,Dasyuromorphia,Dasyuridae,Antechinus,bellus,Fawn Antechinus,Nocturnal,Nocturnal,1,0,0,1,,
Antechinus flavipes,Dasyuromorphia,Dasyuridae,Antechinus,flavipes,Yellow-footed Antechinus,Nocturnal,Nocturnal,1,1,1,1,,
Antechinus godmani,Dasyuromorphia,Dasyuridae,Antechinus,godmani,Atherton Antechinus,Diurnal,Diurnal,1,0,0,1,,
Antechinus leo,Dasyuromorphia,Dasyuridae,Antechinus,leo,Cinnamon Antechinus,Nocturnal,Nocturnal,1,1,1,1,,
