Binomial_iucn,Order,Family,Genus,Species,Common_name,Activity_DD,Activity_IM,Activity_source,Flexible_DD,Flexible_IM,Flexible_source,,
Rattus osgoodi,Rodentia,Muridae,Rattus,osgoodi,Osgood's Vietnamese Rat,Nocturnal,Nocturnal,1,1,1,1,,
Rattus palmarum,Rodentia,Muridae,Rattus,palmarum,Zelebor's Nicobar Rat,Nocturnal,Nocturnal,1,0,0,1,,
Rattus pelurus,Rodentia,Muridae,Rattus,pelurus,Peleng Island Xanthurus Rat,Nocturnal,Nocturnal,2,0,0,1,,
Rattus pococki,Rodentia,Muridae,Rattus,pococki,Pocock's Highland Rat,Nocturnal,Nocturnal,2,0,0,1,,
Rattus praetor,Rodentia,Muridae,Rattus,praetor,Large Spiny Rat,Nocturnal,Nocturnal,1,0,0,1,,
Rattus pyctoris,Rodentia,Muridae,Rattus,pyctoris,Himalayan Rat,Nocturnal,Nocturnal,1,0,0,1,,
Rattus rattus,Rodentia,Muridae,Rattus,rattus,House Rat,Nocturnal,Nocturnal,1,1,1,1,,
Rattus richardsoni,Rodentia,Muridae,Rattus,richardsoni,Glacier Rat,Nocturnal,Nocturnal,2,0,0,1,,
Rattus salocco,Rodentia,Muridae,Rattus,salocco,Southeastern Xanthurus Rat,Nocturnal,Nocturnal,2,0,0,1,,
Rattus satarae,Rodentia,Muridae,Rattus,satarae,Sahyadris Forest Rat,Nocturnal,Nocturnal,1,0,0,1,,
Rattus simalurensis,Rodentia,Muridae,Rattus,simalurensis,Simalur Archipelago Rat,Nocturnal,Nocturnal,2,0,0,1,,
Rattus sordidus,Rodentia,Muridae,Rattus,sordidus,Canefield Rat,Nocturnal,Nocturnal,1,0,0,1,,
Rattus steini,Rodentia,Muridae,Rattus,steini,Small Spiny Rat,Nocturnal,Nocturnal,2,0,0,1,,
Rattus stoicus,Rodentia,Muridae,Rattus,stoicus,Andaman Rat,Nocturnal,Nocturnal,1,0,0,1,,
Rattus tanezumi,Rodentia,Muridae,Rattus,tanezumi,Oriental House Rat,Nocturnal,Nocturnal,1,1,1,1,,
Rattus tawitawiensis,Rodentia,Muridae,Rattus,tawitawiensis,Tawitawi Forest Rat,Nocturnal,Nocturnal,2,0,0,1,,
Rattus timorensis,Rodentia,Muridae,Rattus,timorensis,Timor Forest Rat,Nocturnal,Nocturnal,2,0,0,1,,
Rattus tiomanicus,Rodentia,Muridae,Rattus,tiomanicus,Malaysian Field Rat,Nocturnal,Nocturnal,1,0,0,1,,
Rattus tunneyi,Rodentia,Muridae,Rattus,tunneyi,Pale Field Rat,Nocturnal,Nocturnal,1,0,0,1,,
Rattus vandeuseni,Rodentia,Muridae,Rattus,vandeuseni,Van Deusen's Rat,Nocturnal,Nocturnal,2,0,0,1,,
Rattus verecundus,Rodentia,Muridae,Rattus,verecundus,Slender Rat,Nocturnal,Nocturnal,2,0,0,1,,
Rattus villosissimus,Rodentia,Muridae,Rattus,villosissimus,Long-haired Rat,Nocturnal,Nocturnal,1,1,1,1,,
Rattus xanthurus,Rodentia,Muridae,Rattus,xanthurus,Northeastern Xanthurus Rat,Nocturnal,Nocturnal,1,0,0,1,,
Ratufa affinis,Rodentia,Sciuridae,Ratufa,affinis,Pale Giant Squirrel,Diurnal,Diurnal,1,0,0,1,,
Ratufa bicolor,Rodentia,Sciuridae,Ratufa,bicolor,Black Giant Squirrel,Diurnal,Diurnal,1,0,0,1,,
Ratufa indica,Rodentia,Sciuridae,Ratufa,indica,Indian Giant Squirrel,Diurnal,Diurnal,1,0,0,1,,
Ratufa macroura,Rodentia,Sciuridae,Ratufa,macroura,Sri Lankan Giant Squirrel,Diurnal,Diurnal,1,0,0,1,,
Redunca arundinum,Cetartiodactyla,Bovidae,Redunca,arundinum,Southern Reedbuck,Cathemeral,Cathemeral,1,0,0,1,,
Redunca fulvorufula,Cetartiodactyla,Bovidae,Redunca,fulvorufula,Mountain Reedbuck,Cathemeral,Cathemeral,1,1,1,1,,
Redunca redunca,Cetartiodactyla,Bovidae,Redunca,redunca,Bohor Reedbuck,Cathemeral,Cathemeral,1,0,0,1,,
Reithrodon auritus,Rodentia,Cricetidae,Reithrodon,auritus,Bunny Rat,Nocturnal,Nocturnal,1,0,0,1,,
Reithrodon typicus,Rodentia,Cricetidae,Reithrodon,typicus,Unknown,Nocturnal,Nocturnal,1,0,0,1,,
Reithrodontomys bakeri,Rodentia,Cricetidae,Reithrodontomys,bakeri,Baker's Small-toothed Harvest Mouse,NA,Nocturnal,Imputed,NA,0,Imputed,,
Reithrodontomys brevirostris,Rodentia,Cricetidae,Reithrodontomys,brevirostris,Short-nosed Harvest Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Reithrodontomys burti,Rodentia,Cricetidae,Reithrodontomys,burti,Sonoran Harvest Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Reithrodontomys chrysopsis,Rodentia,Cricetidae,Reithrodontomys,chrysopsis,Volcano Harvest Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Reithrodontomys creper,Rodentia,Cricetidae,Reithrodontomys,creper,Chiriqui Harvest Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Reithrodontomys darienensis,Rodentia,Cricetidae,Reithrodontomys,darienensis,Darien Harvest Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Reithrodontomys fulvescens,Rodentia,Cricetidae,Reithrodontomys,fulvescens,Fulvous Harvest Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Reithrodontomys gracilis,Rodentia,Cricetidae,Reithrodontomys,gracilis,Slender Harvest Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Reithrodontomys hirsutus,Rodentia,Cricetidae,Reithrodontomys,hirsutus,Hairy Harvest Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Reithrodontomys humulis,Rodentia,Cricetidae,Reithrodontomys,humulis,Eastern Harvest Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Reithrodontomys megalotis,Rodentia,Cricetidae,Reithrodontomys,megalotis,Southern Marsh Harvest Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Reithrodontomys mexicanus,Rodentia,Cricetidae,Reithrodontomys,mexicanus,Mexican Harvest Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Reithrodontomys microdon,Rodentia,Cricetidae,Reithrodontomys,microdon,Small-toothed Harvest Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Reithrodontomys montanus,Rodentia,Cricetidae,Reithrodontomys,montanus,Plains Harvest Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Reithrodontomys paradoxus,Rodentia,Cricetidae,Reithrodontomys,paradoxus,Nicaraguan Harvest Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Reithrodontomys raviventris,Rodentia,Cricetidae,Reithrodontomys,raviventris,Salt-marsh Harvest Mouse,Nocturnal,Nocturnal,2,0,0,1,,
Reithrodontomys rodriguezi,Rodentia,Cricetidae,Reithrodontomys,rodriguezi,Rodriguez's Harvest Mouse,Nocturnal,Nocturnal,2,0,0,1,,
Reithrodontomys spectabilis,Rodentia,Cricetidae,Reithrodontomys,spectabilis,Cozumel Harvest Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Reithrodontomys sumichrasti,Rodentia,Cricetidae,Reithrodontomys,sumichrasti,Sumichrast's Harvest Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Reithrodontomys tenuirostris,Rodentia,Cricetidae,Reithrodontomys,tenuirostris,Narrow-nosed Harvest Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Reithrodontomys zacatecae,Rodentia,Cricetidae,Reithrodontomys,zacatecae,Zacatecas Harvest Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Rhabdomys pumilio,Rodentia,Muridae,Rhabdomys,pumilio,Four-striped Grass Rat,Diurnal,Diurnal,1,1,1,1,,
Rhagomys longilingua,Rodentia,Cricetidae,Rhagomys,longilingua,Long-tongued arboreal mouse,Nocturnal,Nocturnal,1,0,0,1,,
Rhagomys rufescens,Rodentia,Cricetidae,Rhagomys,rufescens,Brazilian Arboreal Mouse,NA,Nocturnal,Imputed,NA,0,Imputed,,
Rheithrosciurus macrotis,Rodentia,Sciuridae,Rheithrosciurus,macrotis,Tufted Ground Squirrel,Diurnal,Diurnal,1,0,0,1,,
Rheomys mexicanus,Rodentia,Cricetidae,Rheomys,mexicanus,Mexican Water Mouse,Cathemeral,Cathemeral,2,0,0,1,,
Rheomys raptor,Rodentia,Cricetidae,Rheomys,raptor,Goldman's Water Mouse,Cathemeral,Cathemeral,1,0,0,1,,
Rheomys thomasi,Rodentia,Cricetidae,Rheomys,thomasi,Thomas's Water Mouse,Cathemeral,Cathemeral,2,0,0,1,,
Rheomys underwoodi,Rodentia,Cricetidae,Rheomys,underwoodi,Underwood's Water Mouse,Cathemeral,Cathemeral,1,0,0,1,,
Rhinoceros sondaicus,Perissodactyla,Rhinocerotidae,Rhinoceros,sondaicus,Javan Rhinoceros,Nocturnal,Nocturnal,1,1,1,1,,
Rhinoceros unicornis,Perissodactyla,Rhinocerotidae,Rhinoceros,unicornis,Indian Rhinoceros,Cathemeral,Cathemeral,1,0,0,1,,
Rhinolophus acuminatus,Chiroptera,Rhinolophidae,Rhinolophus,acuminatus,Accuminate Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus adami,Chiroptera,Rhinolophidae,Rhinolophus,adami,Adam's Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus affinis,Chiroptera,Rhinolophidae,Rhinolophus,affinis,Intermediate Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus alcyone,Chiroptera,Rhinolophidae,Rhinolophus,alcyone,Halcyon Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus arcuatus,Chiroptera,Rhinolophidae,Rhinolophus,arcuatus,Arcuate Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus beddomei,Chiroptera,Rhinolophidae,Rhinolophus,beddomei,Beddome's Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus blasii,Chiroptera,Rhinolophidae,Rhinolophus,blasii,Blasius's Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus bocharicus,Chiroptera,Rhinolophidae,Rhinolophus,bocharicus,Bokhara Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus borneensis,Chiroptera,Rhinolophidae,Rhinolophus,borneensis,Bornean Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus canuti,Chiroptera,Rhinolophidae,Rhinolophus,canuti,Canut's Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus capensis,Chiroptera,Rhinolophidae,Rhinolophus,capensis,Cape Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus celebensis,Chiroptera,Rhinolophidae,Rhinolophus,celebensis,Sulawesi Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus clivosus,Chiroptera,Rhinolophidae,Rhinolophus,clivosus,Geoffroy's Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus coelophyllus,Chiroptera,Rhinolophidae,Rhinolophus,coelophyllus,Croslet Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus cognatus,Chiroptera,Rhinolophidae,Rhinolophus,cognatus,Andaman Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus convexus,Chiroptera,Rhinolophidae,Rhinolophus,convexus,Convex Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus creaghi,Chiroptera,Rhinolophidae,Rhinolophus,creaghi,Creagh's Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus darlingi,Chiroptera,Rhinolophidae,Rhinolophus,darlingi,Darling's Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus deckenii,Chiroptera,Rhinolophidae,Rhinolophus,deckenii,Decken's Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus denti,Chiroptera,Rhinolophidae,Rhinolophus,denti,Dent's Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus eloquens,Chiroptera,Rhinolophidae,Rhinolophus,eloquens,Eloquent Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus euryale,Chiroptera,Rhinolophidae,Rhinolophus,euryale,Mediterranean Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus euryotis,Chiroptera,Rhinolophidae,Rhinolophus,euryotis,Broad-eared Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus ferrumequinum,Chiroptera,Rhinolophidae,Rhinolophus,ferrumequinum,Greater Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus formosae,Chiroptera,Rhinolophidae,Rhinolophus,formosae,Formosan Woolly Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus fumigatus,Chiroptera,Rhinolophidae,Rhinolophus,fumigatus,Ruppell's Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus guineensis,Chiroptera,Rhinolophidae,Rhinolophus,guineensis,Guinean Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus hildebrandtii,Chiroptera,Rhinolophidae,Rhinolophus,hildebrandtii,Hildebrandt's Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus hilli,Chiroptera,Rhinolophidae,Rhinolophus,hilli,Hill's Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus hillorum,Chiroptera,Rhinolophidae,Rhinolophus,hillorum,Upland Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus hipposideros,Chiroptera,Rhinolophidae,Rhinolophus,hipposideros,Lesser Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus inops,Chiroptera,Rhinolophidae,Rhinolophus,inops,Philippine Forest Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus keyensis,Chiroptera,Rhinolophidae,Rhinolophus,keyensis,Kai Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus landeri,Chiroptera,Rhinolophidae,Rhinolophus,landeri,Lander's Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus lepidus,Chiroptera,Rhinolophidae,Rhinolophus,lepidus,Blyth's Horseshoe Bat,Nocturnal,Nocturnal,1,1,1,1,,
Rhinolophus luctus,Chiroptera,Rhinolophidae,Rhinolophus,luctus,Woolly Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus maclaudi,Chiroptera,Rhinolophidae,Rhinolophus,maclaudi,Maclaud's Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus macrotis,Chiroptera,Rhinolophidae,Rhinolophus,macrotis,Big-eared Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus madurensis,Chiroptera,Rhinolophidae,Rhinolophus,madurensis,Madura Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus maendeleo,Chiroptera,Rhinolophidae,Rhinolophus,maendeleo,Maendeleo Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus malayanus,Chiroptera,Rhinolophidae,Rhinolophus,malayanus,Malayan Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus marshalli,Chiroptera,Rhinolophidae,Rhinolophus,marshalli,Marshall's Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus megaphyllus,Chiroptera,Rhinolophidae,Rhinolophus,megaphyllus,Eastern Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus mehelyi,Chiroptera,Rhinolophidae,Rhinolophus,mehelyi,Mehely's Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus mitratus,Chiroptera,Rhinolophidae,Rhinolophus,mitratus,Mitred Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus montanus,Chiroptera,Rhinolophidae,Rhinolophus,montanus,Timorese Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus nereis,Chiroptera,Rhinolophidae,Rhinolophus,nereis,Anamban Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus osgoodi,Chiroptera,Rhinolophidae,Rhinolophus,osgoodi,Osgood's Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus paradoxolophus,Chiroptera,Rhinolophidae,Rhinolophus,paradoxolophus,Bourret's Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus pearsonii,Chiroptera,Rhinolophidae,Rhinolophus,pearsonii,Pearson's Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus philippinensis,Chiroptera,Rhinolophidae,Rhinolophus,philippinensis,Large-eared Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus pusillus,Chiroptera,Rhinolophidae,Rhinolophus,pusillus,Least Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus rex,Chiroptera,Rhinolophidae,Rhinolophus,rex,King Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus robinsoni,Chiroptera,Rhinolophidae,Rhinolophus,robinsoni,Peninsular Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus rouxii,Chiroptera,Rhinolophidae,Rhinolophus,rouxii,Rufous Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus rufus,Chiroptera,Rhinolophidae,Rhinolophus,rufus,Large Rufous Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus ruwenzorii,Chiroptera,Rhinolophidae,Rhinolophus,ruwenzorii,Ruwenzori Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus sakejiensis,Chiroptera,Rhinolophidae,Rhinolophus,sakejiensis,Sakeji Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus sedulus,Chiroptera,Rhinolophidae,Rhinolophus,sedulus,Lesser Wooly Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus shameli,Chiroptera,Rhinolophidae,Rhinolophus,shameli,Shamel's Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus shortridgei,Chiroptera,Rhinolophidae,Rhinolophus,shortridgei,Shortridge's Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus siamensis,Chiroptera,Rhinolophidae,Rhinolophus,siamensis,Thai Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus silvestris,Chiroptera,Rhinolophidae,Rhinolophus,silvestris,Forest Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus simulator,Chiroptera,Rhinolophidae,Rhinolophus,simulator,Bushveld Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus sinicus,Chiroptera,Rhinolophidae,Rhinolophus,sinicus,Chinese Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus stheno,Chiroptera,Rhinolophidae,Rhinolophus,stheno,Lesser Brown Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus subbadius,Chiroptera,Rhinolophidae,Rhinolophus,subbadius,Little Nepalese Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus subrufus,Chiroptera,Rhinolophidae,Rhinolophus,subrufus,Small Rufous Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus swinnyi,Chiroptera,Rhinolophidae,Rhinolophus,swinnyi,Swinny's Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus thomasi,Chiroptera,Rhinolophidae,Rhinolophus,thomasi,Thomas's Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus trifoliatus,Chiroptera,Rhinolophidae,Rhinolophus,trifoliatus,Trefoil Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus virgo,Chiroptera,Rhinolophidae,Rhinolophus,virgo,Yellow-faced Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus yunanensis,Chiroptera,Rhinolophidae,Rhinolophus,yunanensis,Dobson's Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinolophus ziama,Chiroptera,Rhinolophidae,Rhinolophus,ziama,Ziama Horseshoe Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinonicteris aurantia,Chiroptera,Hipposideridae,Rhinonicteris,aurantia,Orange Leaf-nosed Bat,Nocturnal,Nocturnal,1,1,1,1,,
Rhinophylla alethina,Chiroptera,Phyllostomidae,Rhinophylla,alethina,Hairy Little Fruit Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinophylla fischerae,Chiroptera,Phyllostomidae,Rhinophylla,fischerae,Fischer's Little Fruit Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinophylla pumilio,Chiroptera,Phyllostomidae,Rhinophylla,pumilio,Dwarf Little Fruit Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinopithecus avunculus,Primates,Cercopithecidae,Rhinopithecus,avunculus,Tonkin Snub-nosed Monkey,Diurnal,Diurnal,2,0,0,1,,
Rhinopithecus bieti,Primates,Cercopithecidae,Rhinopithecus,bieti,Black Snub-nosed Monkey,Diurnal,Diurnal,2,0,0,1,,
Rhinopithecus brelichi,Primates,Cercopithecidae,Rhinopithecus,brelichi,Grey Snub-nosed Monkey,Diurnal,Diurnal,2,0,0,1,,
Rhinopithecus roxellana,Primates,Cercopithecidae,Rhinopithecus,roxellana,Golden Snub-nosed Monkey,Diurnal,Diurnal,1,0,0,1,,
Rhinopithecus strykeri,Primates,Cercopithecidae,Rhinopithecus,strykeri,Myanmar Snub-nosed Monkey,Diurnal,Diurnal,1,0,0,1,,
Rhinopoma hardwickii,Chiroptera,Rhinopomatidae,Rhinopoma,hardwickii,Lesser Mouse-tailed Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinopoma macinnesi,Chiroptera,Rhinopomatidae,Rhinopoma,macinnesi,Macinnes's Mouse-tailed Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinopoma microphyllum,Chiroptera,Rhinopomatidae,Rhinopoma,microphyllum,Greater Mouse-tailed Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinopoma muscatellum,Chiroptera,Rhinopomatidae,Rhinopoma,muscatellum,Small Mouse-tailed Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhinosciurus laticaudatus,Rodentia,Sciuridae,Rhinosciurus,laticaudatus,Shrew-faced Squirrel,Diurnal,Diurnal,2,0,0,1,,
Rhipidomys austrinus,Rodentia,Cricetidae,Rhipidomys,austrinus,Southern Climbing Mouse,Nocturnal,Nocturnal,2,0,0,1,,
Rhipidomys cariri,Rodentia,Cricetidae,Rhipidomys,cariri,Cariri climbing rat,NA,Nocturnal,Imputed,NA,0,Imputed,,
Rhipidomys caucensis,Rodentia,Cricetidae,Rhipidomys,caucensis,Cauca Climbing Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Rhipidomys couesi,Rodentia,Cricetidae,Rhipidomys,couesi,Coues's Climbing Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Rhipidomys emiliae,Rodentia,Cricetidae,Rhipidomys,emiliae,Snethlage's climbing rat,Nocturnal,Nocturnal,2,0,0,1,,
Rhipidomys fulviventer,Rodentia,Cricetidae,Rhipidomys,fulviventer,Buff-bellied Climbing Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Rhipidomys gardneri,Rodentia,Cricetidae,Rhipidomys,gardneri,Gardner's climbing rat,Nocturnal,Nocturnal,2,0,0,1,,
Rhipidomys latimanus,Rodentia,Cricetidae,Rhipidomys,latimanus,Broad-footed Climbing Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Rhipidomys leucodactylus,Rodentia,Cricetidae,Rhipidomys,leucodactylus,White-footed Climbing Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Rhipidomys macconnelli,Rodentia,Cricetidae,Rhipidomys,macconnelli,Macconnell's Climbing Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Rhipidomys macrurus,Rodentia,Cricetidae,Rhipidomys,macrurus,Cerrado climbing rat,Nocturnal,Nocturnal,1,0,0,1,,
Rhipidomys mastacalis,Rodentia,Cricetidae,Rhipidomys,mastacalis,Long-tailed Climbing Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Rhipidomys modicus,Rodentia,Cricetidae,Rhipidomys,modicus,Peruvian Rhipidomys,Nocturnal,Nocturnal,1,0,0,1,,
Rhipidomys nitela,Rodentia,Cricetidae,Rhipidomys,nitela,Splendid Climbing Mouse,Nocturnal,Nocturnal,2,0,0,1,,
Rhipidomys ochrogaster,Rodentia,Cricetidae,Rhipidomys,ochrogaster,Yellow-bellied Climbing Mouse,Nocturnal,Nocturnal,2,0,0,1,,
Rhipidomys venezuelae,Rodentia,Cricetidae,Rhipidomys,venezuelae,Venezuelan Climbing Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Rhipidomys venustus,Rodentia,Cricetidae,Rhipidomys,venustus,Charming Climbing Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Rhipidomys wetzeli,Rodentia,Cricetidae,Rhipidomys,wetzeli,Wetzel's Climbing Mouse,Nocturnal,Nocturnal,2,0,0,1,,
Rhizomys sinensis,Rodentia,Spalacidae,Rhizomys,sinensis,Chinese Bamboo Rat,Nocturnal,Nocturnal,1,1,1,1,,
Rhizomys sumatrensis,Rodentia,Spalacidae,Rhizomys,sumatrensis,Indomalayan Bamboo Rat,Nocturnal,Nocturnal,1,0,0,1,,
Rhogeessa aeneus,Chiroptera,Vespertilionidae,Rhogeessa,aeneus,Yucatan Yellow Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhogeessa alleni,Chiroptera,Vespertilionidae,Rhogeessa,alleni,Allen's Yellow Bat,Nocturnal,Nocturnal,1,0,1,1,,
Rhogeessa genowaysi,Chiroptera,Vespertilionidae,Rhogeessa,genowaysi,Genoways's Yellow Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhogeessa gracilis,Chiroptera,Vespertilionidae,Rhogeessa,gracilis,Slender Yellow Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhogeessa hussoni,Chiroptera,Vespertilionidae,Rhogeessa,hussoni,Husson's Yellow Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhogeessa io,Chiroptera,Vespertilionidae,Rhogeessa,io,Thomas's Yellow Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhogeessa minutilla,Chiroptera,Vespertilionidae,Rhogeessa,minutilla,Tiny Yellow Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhogeessa mira,Chiroptera,Vespertilionidae,Rhogeessa,mira,Least Yellow Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhogeessa parvula,Chiroptera,Vespertilionidae,Rhogeessa,parvula,Little Yellow Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhogeessa tumida,Chiroptera,Vespertilionidae,Rhogeessa,tumida,Black-winged Little Yellow Bat,Nocturnal,Nocturnal,1,0,0,1,,
Rhombomys opimus,Rodentia,Muridae,Rhombomys,opimus,Great Gerbil,Diurnal,Diurnal,2,0,0,1,,
