"tips","Parvorder","Family","Diel_Pattern","max_crep","Confidence","Body_length","Body_mass","Dive_depth","Orbit_ratio","Diet","Habitat","Prey_capture","Brain_mass","Feeding_method","fam_colours"
"Phocoena_dioptrica","Odontoceti","Phocoenidae",NA,NA,0,NA,100,NA,32.50124,"cephalopods + fish","coastal-pelagic","Suction",NA,"Suction/raptorial","orange2"
"Phocoena_phocoena","Odontoceti","Phocoenidae","nocturnal/crepuscular","crepuscular",4,1.89,70,226,32.456175,"cephalopods + fish","coastal","Suction","523","Suction/raptorial","orange2"
"Phocoena_sinus","Odontoceti","Phocoenidae","cathemeral/crepuscular","crepuscular",3,1.5,43.35,30,23.1798,"cephalopods + fish","coastal","Suction",NA,"Suction/raptorial","orange2"
"Phocoena_spinipinnis","Odontoceti","Phocoenidae","cathemeral","cathemeral",2,NA,NA,NA,31.5064333333333,"cephalopods + fish","coastal-pelagic","Suction",NA,"Suction/raptorial","orange2"
"Phocoenoides_dalli","Odontoceti","Phocoenidae","cathemeral/crepuscular","crepuscular",3,2.4,200,180,31.5802,"cephalopods + fish","coastal-pelagic","Suction","876.4","Suction/raptorial","orange2"
"Physeter_macrocephalus","Odontoceti","Physeteridae","cathemeral","cathemeral",4,18.3,57000,3200,10.43169,"cephalopods + fish","coastal-pelagic","Suction","8183.1","Suction","green4"
"Platanista_gangetica","Odontoceti","Platanistidae","nocturnal/crepuscular","crepuscular",3,NA,59.58,NA,8.00285,"fish","riverine","Snap","290.5","Raptorial","turquoise1"
"Platanista_minor","Odontoceti","Platanistidae","nocturnal/crepuscular","crepuscular",3,NA,18.3,NA,NA,NA,NA,NA,"164","Raptorial","turquoise1"
"Pontoporia_blainvillei","Odontoceti","Delphinidae","cathemeral","cathemeral",3,0,34.86,35,24.4151333333333,"cephalopods + fish","coastal","Snap","221.2","Raptorial","grey"
"Pseudorca_crassidens","Odontoceti","Delphinidae","diurnal","diurnal",5,6,2000,2345,24.84204,"tetrapods + fish","coastal-pelagic","Grip-and-Tear","2534","Raptorial","grey"
"Sotalia_fluviatilis","Odontoceti","Delphinidae","cathemeral","cathemeral",3,NA,44.6,NA,28.1158,NA,"riverine","Ram","688","Raptorial","grey"
"Sotalia_guianensis","Odontoceti","Delphinidae","cathemeral","cathemeral",3,0,NA,35,27.9737,"fish","coastal","Ram",NA,"Raptorial","grey"
"Sousa_chinensis","Odontoceti","Delphinidae","nocturnal","nocturnal",3,0,215,30,NA,"fish","coastal",NA,NA,"Raptorial","grey"
"Sousa_plumbea","Odontoceti","Delphinidae","nocturnal/crepuscular","crepuscular",3,0,NA,30,28.42925,"fish","coastal","Ram",NA,"Raptorial","grey"
"Sousa_sahulensis","Odontoceti","Delphinidae",NA,NA,0,NA,NA,NA,NA,"fish","coastal",NA,NA,"Raptorial","grey"
"Sousa_teuszii","Odontoceti","Delphinidae","nocturnal","nocturnal",3,NA,176.8355,NA,NA,"fish","coastal",NA,NA,"Raptorial","grey"
"Stenella_attenuata","Odontoceti","Delphinidae","nocturnal/crepuscular","crepuscular",4,2.6,119,213,30.62917,"cephalopods + fish","pelagic","Ram",NA,"Raptorial","grey"
"Stenella_clymene","Odontoceti","Delphinidae","nocturnal","nocturnal",2,0,78,700,26.2520475,NA,"pelagic","Ram",NA,"Raptorial","grey"
"Stenella_coeruleoalba","Odontoceti","Delphinidae","nocturnal","nocturnal",3,2.56,164.5,700,25.9808247045071,NA,"pelagic","Ram","939.4","Raptorial","grey"
"Stenella_frontalis","Odontoceti","Delphinidae","nocturnal","nocturnal",3,2.3,143,60,29.07710474,NA,"pelagic","Ram",NA,"Raptorial","grey"
"Stenella_longirostris","Odontoceti","Delphinidae","nocturnal","nocturnal",4,2.35,82,600,29.3828666666667,"cephalopods + fish","pelagic","Ram","660","Raptorial","grey"
"Steno_bredanensis","Odontoceti","Delphinidae","nocturnal/crepuscular","crepuscular",4,2.65,155,400,32.2005806666667,"cephalopods + fish","pelagic","Ram","1537.9","Raptorial","grey"
"Tasmacetus_shepherdi","Odontoceti","Ziphiidae",NA,NA,0,NA,NA,NA,21.2229,"cephalopods + fish","pelagic","Suction",NA,"Suction","green2"
"Tursiops_aduncus","Odontoceti","Delphinidae","nocturnal/crepuscular","crepuscular",5,0,191,1000,NA,NA,NA,NA,NA,"Raptorial","grey"
"Tursiops_truncatus","Odontoceti","Delphinidae","cathemeral/crepuscular","crepuscular",5,3.8,650,535,25.1699166666667,"cephalopods + fish","coastal-pelagic","Ram","1676.5","Raptorial","grey"
"Ziphius_cavirostris","Odontoceti","Ziphiidae","cathemeral","cathemeral",4,7,3000,2992,24.2284978969267,"cephalopods + fish","pelagic","Suction","2004","Suction/raptorial","green2"
