"Species_name","Order","Suborder","Parvorder","Family","Diel_Pattern","max_crep","max_dinoc","Confidence","tips"
"Ammospermophilus leucurus","Rodentia","idk","non-cetacean","Sciuridae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Ammospermophilus_leucurus"
"Ammospermophilus nelsoni","Rodentia","idk","non-cetacean","Sciuridae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Ammospermophilus_nelsoni"
"Ammospermophilus nelsoni","Rodentia","idk","non-cetacean","Sciuridae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Ammospermophilus_nelsoni"
"Ammotragus lervia","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Ammotragus_lervia"
"Ammotragus lervia","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Ammotragus_lervia"
"Ammotragus lervia","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Ammotragus_lervia"
"Anathana ellioti","Scandentia","idk","non-cetacean","Tupaiidae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Anathana_ellioti"
"Andinomys edax","Rodentia","idk","non-cetacean","Cricetidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Andinomys_edax"
"Anomalurus beecrofti","Rodentia","idk","non-cetacean","Anomaluridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Anomalurus_beecrofti"
"Anomalurus beecrofti","Rodentia","idk","non-cetacean","Anomaluridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Anomalurus_beecrofti"
"Anomalurus derbianus","Rodentia","idk","non-cetacean","Anomaluridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Anomalurus_derbianus"
"Anomalurus pelii","Rodentia","idk","non-cetacean","Anomaluridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Anomalurus_pelii"
"Anomalurus pusillus","Rodentia","idk","non-cetacean","Anomaluridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Anomalurus_pusillus"
"Anoura cultrata","Chiroptera","idk","non-cetacean","Phyllostomidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Anoura_cultrata"
"Anoura geoffroyi","Chiroptera","idk","non-cetacean","Phyllostomidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Anoura_geoffroyi"
"Antechinomys laniger","Dasyuromorphia","idk","non-cetacean","Dasyuridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Antechinomys_laniger"
"Antechinomys laniger","Dasyuromorphia","idk","non-cetacean","Dasyuridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Antechinomys_laniger"
"Antechinus agilis","Dasyuromorphia","idk","non-cetacean","Dasyuridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Antechinus_agilis"
"Antechinus bellus","Dasyuromorphia","idk","non-cetacean","Dasyuridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Antechinus_bellus"
"Antechinus bellus","Dasyuromorphia","idk","non-cetacean","Dasyuridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Antechinus_bellus"
"Antechinus flavipes","Dasyuromorphia","idk","non-cetacean","Dasyuridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Antechinus_flavipes"
"Antechinus flavipes","Dasyuromorphia","idk","non-cetacean","Dasyuridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Antechinus_flavipes"
"Antechinus godmani","Dasyuromorphia","idk","non-cetacean","Dasyuridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Antechinus_godmani"
"Antechinus godmani","Dasyuromorphia","idk","non-cetacean","Dasyuridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Antechinus_godmani"
"Antechinus leo","Dasyuromorphia","idk","non-cetacean","Dasyuridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Antechinus_leo"
"Antechinus leo","Dasyuromorphia","idk","non-cetacean","Dasyuridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Antechinus_leo"
"Antechinus minimus","Dasyuromorphia","idk","non-cetacean","Dasyuridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Antechinus_minimus"
"Antechinus minimus","Dasyuromorphia","idk","non-cetacean","Dasyuridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Antechinus_minimus"
"Antechinus stuartii","Dasyuromorphia","idk","non-cetacean","Dasyuridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Antechinus_stuartii"
"Antechinus stuartii","Dasyuromorphia","idk","non-cetacean","Dasyuridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Antechinus_stuartii"
"Antechinus stuartii","Dasyuromorphia","idk","non-cetacean","Dasyuridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Antechinus_stuartii"
"Antechinus swainsonii","Dasyuromorphia","idk","non-cetacean","Dasyuridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Antechinus_swainsonii"
"Antechinus swainsonii","Dasyuromorphia","idk","non-cetacean","Dasyuridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Antechinus_swainsonii"
"Antechinus swainsonii","Dasyuromorphia","idk","non-cetacean","Dasyuridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Antechinus_swainsonii"
"Antidorcas marsupialis","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral","cathemeral","cathemeral","Bennie_2014_dataset","Antidorcas_marsupialis"
"Antilocapra americana","Artiodactyla","Ruminantia","non-cetacean","Antilocapridae","cathemeral","cathemeral","cathemeral","Bennie_2014_dataset","Antilocapra_americana"
"Antilope cervicapra","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Antilope_cervicapra"
"Antilope cervicapra","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Antilope_cervicapra"
"Antrozous pallidus","Chiroptera","idk","non-cetacean","Vespertilionidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Antrozous_pallidus"
"Aonyx capensis","Carnivora","idk","non-cetacean","Mustelidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Aonyx_capensis"
"Aonyx cinerea","Carnivora","idk","non-cetacean","Mustelidae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Aonyx_cinerea"
"Aotus azarae","Primates","idk","non-cetacean","Aotidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Aotus_azarae"
"Aotus azarae","Primates","idk","non-cetacean","Aotidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Aotus_azarae"
"Aotus azarae","Primates","idk","non-cetacean","Aotidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Aotus_azarae"
"Aotus lemurinus","Primates","idk","non-cetacean","Aotidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Aotus_lemurinus"
"Aotus lemurinus","Primates","idk","non-cetacean","Aotidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Aotus_lemurinus"
