"","search_string","unique_name","approximate_match","ott_id","is_synonym","flags","number_matches","tips","genus","family","order","diel","diel_confidence","diel2","genome"
"130","alionematichthys minyomma","Alionematichthys minyomma",FALSE,4134259,FALSE,"",1,"Alionematichthys_minyomma","Alionematichthys","Dinematichthyidae","Ophidiiformes","nocturnal",1,"nocturnal",""
"131","alloclinus holderi","Alloclinus holderi",FALSE,1063504,FALSE,"",1,"Alloclinus_holderi","Alloclinus","Labrisomidae","Blenniiformes","diurnal",3,"diurnal",""
"132","allocyttus niger","Allocyttus niger",FALSE,463425,FALSE,"",1,"Allocyttus_niger","Allocyttus","Oreosomatidae","Zeiformes","unclear",3,"unknown",""
"133","alopias pelagicus","Alopias pelagicus",FALSE,801808,FALSE,"",1,"Alopias_pelagicus","Alopias","Alopiidae","Lamniformes","nocturnal",2,"nocturnal",""
"134","alopias superciliosus","Alopias superciliosus",FALSE,73666,FALSE,"",1,"Alopias_superciliosus","Alopias","Alopiidae","Lamniformes","diurnal",3,"diurnal",""
"135","alopias vulpinus","Alopias vulpinus",FALSE,1077204,FALSE,"",1,"Alopias_vulpinus","Alopias","Alopiidae","Lamniformes","diurnal",4,"diurnal",""
"136","alosa alosa","Alosa alosa",FALSE,994167,FALSE,"",1,"Alosa_alosa","Alosa","Clupeidae","Clupeiformes","diurnal",2,"diurnal","Zuzanna"
"137","alosa chrysochloris","Alosa chrysochloris",FALSE,482298,FALSE,"",1,"Alosa_chrysochloris","Alosa","Clupeidae","Clupeiformes","nocturnal",2,"nocturnal",""
"138","alosa kessleri","Alosa kessleri",FALSE,5342765,FALSE,"",1,"Alosa_kessleri","Alosa","Clupeidae","Clupeiformes","nocturnal",3,"nocturnal",""
"139","alosa macedonica","Alosa macedonica",FALSE,910800,FALSE,"",1,"Alosa_macedonica","Alosa","Clupeidae","Clupeiformes","diurnal",3,"diurnal",""
"140","alosa maeotica","Alosa maeotica",FALSE,3628684,FALSE,"",1,"Alosa_maeotica","Alosa","Clupeidae","Clupeiformes","crepuscular/diurnal",2,"crepuscular",""
"141","alosa pseudoharengus","Alosa pseudoharengus",FALSE,519457,FALSE,"",1,"Alosa_pseudoharengus","Alosa","Clupeidae","Clupeiformes","diurnal",4,"diurnal",""
"142","alosa sapidissima","Alosa sapidissima",FALSE,519453,FALSE,"",1,"Alosa_sapidissima","Alosa","Clupeidae","Clupeiformes","diurnal",5,"diurnal","Zuzanna"
"143","alphestes afer","Alphestes afer",FALSE,950943,FALSE,"",1,"Alphestes_afer","Alphestes","Serranidae","Perciformes/Serranoidei","nocturnal",3,"nocturnal",""
"144","alphestes immaculatus","Alphestes immaculatus",FALSE,968035,FALSE,"",1,"Alphestes_immaculatus","Alphestes","Serranidae","Perciformes/Serranoidei","nocturnal",1,"nocturnal",""
