"","Species_name","Family","Conf1","Conf1.1","Conf1.2","Conf1.3","Conf1.4","Conf2","Conf2.1","Conf2.2","Conf2.3","Conf2.4","Conf2.5","Conf3","Conf3.1","Conf3.2","Conf3.3","Conf3.4","Conf3.5","Conf4","Conf4.1","Conf4.2","Conf4.3","Conf4.4","Conf4.5","Conf5","Conf5.1","Conf5.2","tabulated_diel"
"223","Tragelaphus imberbis","Bovidae","nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal"
"224","Tragelaphus oryx","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"225","Tragelaphus scriptus","Bovidae",NA,NA,NA,"nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal","cathemeral/crepuscular",NA,NA,NA,"nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular"
"226","Tragelaphus spekii","Bovidae",NA,NA,NA,NA,NA,NA,"unclear/crepuscular","unclear/crepuscular",NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"227","Tragelaphus strepsiceros","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal"
"228","Tragelaphus sylvaticus","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral",NA,NA,NA,NA,"diurnal/cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral"
"229","Tragulus javanicus","Tragulidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular"
"230","Tragulus kanchil","Tragulidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular","diurnal/crepuscular","cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,"cathemeral/crepuscular"
"231","Tragulus napu","Tragulidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral","cathemeral/crepuscular","nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral"
"232","Tragulus nigricans","Tragulidae","nocturnal","nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal"
"233","Tragulus versicolor","Tragulidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal"
"234","Tragulus williamsoni","Tragulidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular"
"235","Vicugna vicugna","Camelidae",NA,NA,NA,NA,NA,"diurnal","diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal"
