"","Species_name","Family","Order","Diel_Pattern_1","Diel_Pattern_3","Diel_Pattern_2","Diel_Pattern_4","Confidence","tips"
"Tragelaphus_scriptus","Tragelaphus scriptus","Bovidae","Ruminantia","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","4","Tragelaphus_scriptus"
"Tragelaphus_sylvaticus","Tragelaphus sylvaticus","Bovidae","Ruminantia",NA,"crepuscular","cathemeral","cathemeral","4","Tragelaphus_sylvaticus"
"Tragulus_javanicus","Tragulus javanicus","Tragulidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","4","Tragulus_javanicus"
"Antilocapra_americana","Antilocapra americana","Antilocapridae","Ruminantia","diurnal","diurnal","diurnal","diurnal","4","Antilocapra_americana"
"Cervus_elaphus","Cervus elaphus","Cervidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","4","Cervus_elaphus"
"Damaliscus_pygargus","Damaliscus pygargus","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","2","Damaliscus_pygargus"
"Dorcatragus_megalotis","Dorcatragus megalotis","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","2","Dorcatragus_megalotis"
"Hippopotamus_amphibius","Hippopotamus amphibius","Hippopotamidae","Whippomorpha","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","4","Hippopotamus_amphibius"
"Elaphurus_davidianus","Elaphurus davidianus","Cervidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","2","Elaphurus_davidianus"
"Eudorcas_tilonura","Eudorcas tilonura","Bovidae","Ruminantia","unknown","unknown","unknown","unknown","unknown","Eudorcas_tilonura"
"Gazella_arabica","Gazella arabica","Bovidae","Ruminantia","unknown","unknown","unknown","unknown","unknown","Gazella_arabica"
"Kobus_vardonii","Kobus vardonii","Bovidae","Ruminantia","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","4","Kobus_vardonii"
