"","X","Species_name","Family","Notes","Diel_Pattern_1","Diel_Pattern_2","Diel_Pattern_3","Diel_Pattern_4","AltDiel_Pattern","Confidence","tips","max_conf"
"92","Naemorhedus_goral","Naemorhedus goral","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","","3","Naemorhedus_goral","3"
"93","Naemorhedus_griseus","Naemorhedus griseus","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","","3","Naemorhedus_griseus","3"
"94","Nanger_dama","Nanger dama","Bovidae","","nocturnal","nocturnal","nocturnal","nocturnal","*double check","3","Nanger_dama","3"
"95","Neotragus_batesi","Neotragus batesi","Bovidae","Nesotragus batesi","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","3","Neotragus_batesi","3"
"96","Neotragus_pygmaeus","Neotragus pygmaeus","Bovidae","","nocturnal","nocturnal","nocturnal","nocturnal","","4","Neotragus_pygmaeus","4"
"97","Nesotragus_moschatus","Nesotragus moschatus","Bovidae","Neotragus moschatus","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","3","Nesotragus_moschatus","3"
"98","Odocoileus_hemionus","Odocoileus hemionus","Cervidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","*becomes more diurnal in the cool season ","4","Odocoileus_hemionus","4"
"99","Odocoileus_virginianus","Odocoileus virginianus","Cervidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","","4","Odocoileus_virginianus","4"
"100","Okapia_johnstoni","Okapia johnstoni","Giraffidae","","diurnal","diurnal","diurnal","diurnal","","5","Okapia_johnstoni","5"
"101","Oreamnos_americanus","Oreamnos americanus","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","","4","Oreamnos_americanus","4"
"102","Oreotragus_oreotragus","Oreotragus oreotragus","Bovidae","","diurnal","diurnal","diurnal","diurnal","*increase in morning activity in summer, increase in dusk activity in winter","3","Oreotragus_oreotragus","3"
"103","Oryx_dammah","Oryx dammah","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","*more nocturnal in summer","3","Oryx_dammah","3"
"104","Oryx_gazella","Oryx gazella","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","","4","Oryx_gazella","4"
"105","Oryx_leucoryx","Oryx leucoryx","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","*seasonal differences (nocturnal/crepuscular in summer, diurnal during winter)","4","Oryx_leucoryx","4"
"106","Ourebia_ourebi","Ourebia ourebi","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","","3","Ourebia_ourebi","3"
"107","Ovibos_moschatus","Ovibos moschatus","Bovidae","",NA,"cathemeral","crepuscular","cathemeral","*cathemeral during mid-summer, ultradian during winter","4","Ovibos_moschatus","4"
"108","Ovis_ammon","Ovis ammon","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","","4","Ovis_ammon","4"
"109","Ovis_aries","Ovis aries","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","","3","Ovis_aries","3"
"110","Ovis_canadensis","Ovis canadensis","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","","4","Ovis_canadensis","4"
"111","Ovis_dalli","Ovis dalli","Bovidae","","diurnal","diurnal","diurnal","diurnal","*adjusts activity with photoperiod, becoming more crepuscular as daylight hours decrease","4","Ovis_dalli","4"
"112","Ovis_gmelini","Ovis gmelini","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","*more diurnal in winter, more nocturnal in summer","4","Ovis_gmelini","4"
"113","Ovis_orientalis","Ovis orientalis","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","","4","Ovis_orientalis","4"
"114","Ozotoceros_bezoarticus","Ozotoceros bezoarticus","Cervidae","",NA,"cathemeral","crepuscular","cathemeral","","4","Ozotoceros_bezoarticus","4"
"115","Pantholops_hodgsonii","Pantholops hodgsonii","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","","3","Pantholops_hodgsonii","3"
"116","Philantomba_maxwellii","Philantomba maxwellii","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","","4","Philantomba_maxwellii","4"
"117","Philantomba_monticola","Philantomba monticola","Bovidae","subsps congica","diurnal","diurnal/crepuscular","crepuscular","diurnal","","3","Philantomba_monticola","3"
"118","Philantomba_walteri","Philantomba walteri","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","","3","Philantomba_walteri","3"
"119","Pseudois_nayaur","Pseudois nayaur","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","","3","Pseudois_nayaur","3"
"120","Pseudoryx_nghetinhensis","Pseudoryx nghetinhensis","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","","5","Pseudoryx_nghetinhensis","5"
"121","Pudu_puda","Pudu puda","Cervidae","","nocturnal","nocturnal","nocturnal","nocturnal","*found to also be crepuscular in some studies (notes for source 1)","3","Pudu_puda","3"
"122","Rangifer_tarandus","Rangifer tarandus","Cervidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","","5","Rangifer_tarandus","5"
"123","Raphicerus_campestris","Raphicerus campestris","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","","3","Raphicerus_campestris","3"
"124","Redunca_fulvorufula","Redunca fulvorufula","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","","4","Redunca_fulvorufula","4"
"125","Redunca_redunca","Redunca redunca","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","","3","Redunca_redunca","3"
"126","Rucervus_duvaucelii","Rucervus duvaucelii","Cervidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","","4","Rucervus_duvaucelii","4"
"127","Rupicapra_rupicapra","Rupicapra rupicapra","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","Nocturnal","4","Rupicapra_rupicapra","4"
"128","Rusa_timorensis","Rusa timorensis","Cervidae","","nocturnal","nocturnal","nocturnal","nocturnal","*diurnal in the absence of livestock","3","Rusa_timorensis","3"
"129","Rusa_unicolor","Rusa unicolor","Cervidae","","nocturnal","nocturnal","nocturnal","nocturnal","","3","Rusa_unicolor","3"
"130","Sylvicapra_grimmia","Sylvicapra grimmia","Bovidae","","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","3","Sylvicapra_grimmia","3"
"131","Syncerus_caffer","Syncerus caffer","Bovidae","","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","4","Syncerus_caffer","4"
"132","Tetracerus_quadricornis","Tetracerus quadricornis","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","","3","Tetracerus_quadricornis","3"
"133","Tragelaphus_angasii","Tragelaphus angasii","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","*more crepuscular in some locations","3","Tragelaphus_angasii","3"
"134","Tragelaphus_buxtoni","Tragelaphus buxtoni","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","","4","Tragelaphus_buxtoni","4"
"135","Tragelaphus_derbianus","Tragelaphus derbianus","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","","3","Tragelaphus_derbianus","3"
"136","Tragelaphus_eurycerus","Tragelaphus eurycerus","Bovidae","","nocturnal","nocturnal","nocturnal","nocturnal","","3","Tragelaphus_eurycerus","3"
"137","Tragelaphus_oryx","Tragelaphus oryx","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","","4","Tragelaphus_oryx","4"
"138","Tragelaphus_scriptus","Tragelaphus scriptus","Bovidae","","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","*more diurnal/cathemeral crepuscular in some locations","4","Tragelaphus_scriptus","4"
"139","Tragelaphus_spekii","Tragelaphus spekii","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","","3","Tragelaphus_spekii","3"
"140","Tragelaphus_strepsiceros","Tragelaphus strepsiceros","Bovidae","","diurnal","diurnal","diurnal","diurnal","","3","Tragelaphus_strepsiceros","3"
"141","Tragelaphus_sylvaticus","Tragelaphus sylvaticus","Bovidae","",NA,"cathemeral","crepuscular","cathemeral","","4","Tragelaphus_sylvaticus","4"
"142","Tragulus_javanicus","Tragulus javanicus","Tragulidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","","4","Tragulus_javanicus","4"
"143","Tragulus_kanchil","Tragulus kanchil","Tragulidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","","5","Tragulus_kanchil","5"
"144","Tragulus_napu","Tragulus napu","Tragulidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","","3","Tragulus_napu","3"
"145","Tragulus_versicolor","Tragulus versicolor","Tragulidae","","diurnal","diurnal","diurnal","diurnal","","3","Tragulus_versicolor","3"
"146","Tragulus_williamsoni","Tragulus williamsoni","Tragulidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","","3","Tragulus_williamsoni","3"
