"","Species_name","Diel_Pattern_2","tips","Diel_Pattern_1","Diel_Pattern_3","Diel_Pattern_4"
"Muntiacus reevesi","Muntiacus reevesi","Cathemeral","Muntiacus_reevesi",NA,"Cathemeral","Cathemeral"
"Muntiacus rooseveltorum","Muntiacus rooseveltorum","Cathemeral","Muntiacus_rooseveltorum",NA,"Cathemeral","Cathemeral"
"Muntiacus truongsonensis","Muntiacus truongsonensis","Cathemeral","Muntiacus_truongsonensis",NA,"Cathemeral","Cathemeral"
"Muntiacus vaginalis","Muntiacus vaginalis","Cathemeral","Muntiacus_vaginalis",NA,"Cathemeral","Cathemeral"
"Muntiacus vuquangensis","Muntiacus vuquangensis","Diurnal","Muntiacus_vuquangensis","Diurnal","Diurnal","Diurnal"
"Naemorhedus baileyi","Naemorhedus baileyi","Diurnal","Naemorhedus_baileyi","Diurnal","Diurnal","Diurnal"
"Naemorhedus caudatus","Naemorhedus caudatus","Nocturnal","Naemorhedus_caudatus","Nocturnal","Nocturnal","Nocturnal"
"Naemorhedus goral","Naemorhedus goral","Crepuscular","Naemorhedus_goral",NA,"Crepuscular","Crepuscular"
"Naemorhedus griseus","Naemorhedus griseus","Crepuscular","Naemorhedus_griseus",NA,"Crepuscular","Crepuscular"
"Nanger dama","Nanger dama","Diurnal","Nanger_dama","Diurnal","Diurnal","Diurnal"
"Nanger granti","Nanger granti","Diurnal","Nanger_granti","Diurnal","Diurnal","Diurnal"
"Nanger soemmerringii","Nanger soemmerringii","Diurnal","Nanger_soemmerringii","Diurnal","Diurnal","Diurnal"
"Neotragus batesi","Neotragus batesi","Nocturnal/Crepuscular","Neotragus_batesi","Nocturnal","Crepuscular","Nocturnal"
"Neotragus pygmaeus","Neotragus pygmaeus","Nocturnal","Neotragus_pygmaeus","Nocturnal","Nocturnal","Nocturnal"
"Neotragus moschatus","Neotragus moschatus","Nocturnal/Crepuscular","Neotragus_moschatus","Nocturnal","Crepuscular","Nocturnal"
"Nilgiritragus hylocrius","Nilgiritragus hylocrius","Diurnal","Nilgiritragus_hylocrius","Diurnal","Diurnal","Diurnal"
"Odocoileus hemionus","Odocoileus hemionus","Crepuscular","Odocoileus_hemionus",NA,"Crepuscular","Crepuscular"
"Odocoileus virginianus","Odocoileus virginianus","Cathemeral/Crepuscular","Odocoileus_virginianus",NA,"Crepuscular","Cathemeral"
"Okapia johnstoni","Okapia johnstoni","Diurnal","Okapia_johnstoni","Diurnal","Diurnal","Diurnal"
"Oreamnos americanus","Oreamnos americanus","Diurnal/Crepuscular","Oreamnos_americanus","Diurnal","Crepuscular","Diurnal"
"Oreotragus oreotragus","Oreotragus oreotragus","Diurnal","Oreotragus_oreotragus","Diurnal","Diurnal","Diurnal"
"Oryx beisa","Oryx beisa","Cathemeral","Oryx_beisa",NA,"Cathemeral","Cathemeral"
"Oryx dammah","Oryx dammah","Cathemeral","Oryx_dammah",NA,"Cathemeral","Cathemeral"
"Oryx gazella","Oryx gazella","Cathemeral","Oryx_gazella",NA,"Cathemeral","Cathemeral"
"Oryx leucoryx","Oryx leucoryx","Cathemeral/Crepuscular","Oryx_leucoryx",NA,"Crepuscular","Cathemeral"
"Ourebia ourebi","Ourebia ourebi","Cathemeral","Ourebia_ourebi",NA,"Cathemeral","Cathemeral"
"Ovibos moschatus","Ovibos moschatus","Cathemeral","Ovibos_moschatus",NA,"Cathemeral","Cathemeral"
"Ovis ammon","Ovis ammon","Crepuscular","Ovis_ammon",NA,"Crepuscular","Crepuscular"
"Ovis canadensis","Ovis canadensis","Crepuscular","Ovis_canadensis",NA,"Crepuscular","Crepuscular"
"Ovis dalli","Ovis dalli","Diurnal","Ovis_dalli","Diurnal","Diurnal","Diurnal"
"Ovis nivicola","Ovis nivicola","Diurnal","Ovis_nivicola","Diurnal","Diurnal","Diurnal"
"Ovis orientalis","Ovis orientalis","Crepuscular","Ovis_orientalis",NA,"Crepuscular","Crepuscular"
"Ozotoceros bezoarticus","Ozotoceros bezoarticus","Cathemeral","Ozotoceros_bezoarticus",NA,"Cathemeral","Cathemeral"
"Pantholops hodgsonii","Pantholops hodgsonii","Crepuscular","Pantholops_hodgsonii",NA,"Crepuscular","Crepuscular"
"Pecari tajacu","Pecari tajacu","Diurnal","Pecari_tajacu","Diurnal","Diurnal","Diurnal"
"Pelea capreolus","Pelea capreolus","Cathemeral","Pelea_capreolus",NA,"Cathemeral","Cathemeral"
