"Species_name","Order","Suborder","Parvorder","Family","Diel_Pattern","max_crep","max_dinoc","Confidence","tips"
"Hippocamelus bisulcus","Artiodactyla","Ruminantia","non-cetacean","Cervidae","diurnal","diurnal","diurnal",1,"Hippocamelus_bisulcus"
"Hippopotamus amphibius","Artiodactyla","Whippomorpha","non-cetacean","Hippopotamidae","nocturnal/crepuscular","crepuscular","nocturnal",4,"Hippopotamus_amphibius"
"Hippotragus equinus","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal","diurnal","diurnal",3,"Hippotragus_equinus"
"Hippotragus niger","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal/crepuscular","crepuscular","diurnal",4,"Hippotragus_niger"
"Hydropotes inermis","Artiodactyla","Ruminantia","non-cetacean","Cervidae","cathemeral/crepuscular","crepuscular","crepuscular",4,"Hydropotes_inermis"
"Hyemoschus aquaticus","Artiodactyla","Ruminantia","non-cetacean","Tragulidae","nocturnal","nocturnal","nocturnal",4,"Hyemoschus_aquaticus"
"Hylochoerus meinertzhageni","Artiodactyla","Suina","non-cetacean","Suidae","diurnal","diurnal","diurnal",3,"Hylochoerus_meinertzhageni"
"Kobus ellipsiprymnus","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral/crepuscular","crepuscular","crepuscular",2,"Kobus_ellipsiprymnus"
"Kobus kob","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral","cathemeral","cathemeral",4,"Kobus_kob"
"Kobus leche","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal","diurnal","diurnal",2,"Kobus_leche"
"Kobus megaceros","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral/crepuscular","crepuscular","crepuscular",1,"Kobus_megaceros"
"Kobus vardonii","Artiodactyla","Ruminantia","non-cetacean","Bovidae","nocturnal/crepuscular","crepuscular","nocturnal",4,"Kobus_vardonii"
"Lama glama","Artiodactyla","Tylopoda","non-cetacean","Camelidae","diurnal","diurnal","diurnal",4,"Lama_glama"
"Lama guanicoe","Artiodactyla","Tylopoda","non-cetacean","Camelidae","diurnal","diurnal","diurnal",3,"Lama_guanicoe"
"Litocranius walleri","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal/crepuscular","crepuscular","diurnal",2,"Litocranius_walleri"
"Madoqua guentheri","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal","diurnal","diurnal",4,"Madoqua_guentheri"
"Madoqua kirkii","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral","cathemeral","cathemeral",4,"Madoqua_kirkii"
"Madoqua piacentinii","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal/crepuscular","crepuscular","diurnal",1,"Madoqua_piacentinii"
"Madoqua saltiana","Artiodactyla","Ruminantia","non-cetacean","Bovidae","nocturnal/crepuscular","crepuscular","nocturnal",5,"Madoqua_saltiana"
"Mazama americana","Artiodactyla","Ruminantia","non-cetacean","Cervidae","nocturnal/crepuscular","crepuscular","nocturnal",3,"Mazama_americana"
"Mazama bororo","Artiodactyla","Ruminantia","non-cetacean","Cervidae","nocturnal","nocturnal","nocturnal",3,"Mazama_bororo"
"Mazama bricenii","Artiodactyla","Ruminantia","non-cetacean","Cervidae","nocturnal","nocturnal","nocturnal",1,"Mazama_bricenii"
"Mazama chunyi","Artiodactyla","Ruminantia","non-cetacean","Cervidae","nocturnal","nocturnal","nocturnal",3,"Mazama_chunyi"
"Mazama gouazoubira","Artiodactyla","Ruminantia","non-cetacean","Cervidae","diurnal/crepuscular","crepuscular","diurnal",3,"Mazama_gouazoubira"
"Mazama nana","Artiodactyla","Ruminantia","non-cetacean","Cervidae","nocturnal","nocturnal","nocturnal",3,"Mazama_nana"
"Mazama nemorivaga","Artiodactyla","Ruminantia","non-cetacean","Cervidae","diurnal/crepuscular","crepuscular","diurnal",3,"Mazama_nemorivaga"
"Mazama pandora","Artiodactyla","Ruminantia","non-cetacean","Cervidae","diurnal","diurnal","diurnal",3,"Mazama_pandora"
"Mazama rufina","Artiodactyla","Ruminantia","non-cetacean","Cervidae","nocturnal","nocturnal","nocturnal",3,"Mazama_rufina"
"Mazama temama","Artiodactyla","Ruminantia","non-cetacean","Cervidae","cathemeral","cathemeral","cathemeral",3,"Mazama_temama"
"Moschiola indica","Artiodactyla","Ruminantia","non-cetacean","Tragulidae","nocturnal","nocturnal","nocturnal",3,"Moschiola_indica"
"Moschiola kathygre","Artiodactyla","Ruminantia","non-cetacean","Tragulidae","nocturnal","nocturnal","nocturnal",3,"Moschiola_kathygre"
"Moschiola meminna","Artiodactyla","Ruminantia","non-cetacean","Tragulidae","nocturnal","nocturnal","nocturnal",3,"Moschiola_meminna"
"Moschus anhuiensis","Artiodactyla","Ruminantia","non-cetacean","Moschidae","nocturnal/crepuscular","crepuscular","nocturnal",1,"Moschus_anhuiensis"
"Moschus berezovskii","Artiodactyla","Ruminantia","non-cetacean","Moschidae","cathemeral/crepuscular","crepuscular","crepuscular",3,"Moschus_berezovskii"
