"Species_name","Family","column","value"
"Cephalophus silvicultor","Bovidae","Conf3.4","nocturnal/crepuscular"
"Cephalophus silvicultor","Bovidae","Conf4.5","nocturnal"
"Cervus nippon","Cervidae","Conf3","diurnal/crepuscular"
"Cervus nippon","Cervidae","Conf3.1","nocturnal/crepuscular"
"Cervus nippon","Cervidae","Conf3.2","cathemeral/crepuscular"
"Dama dama","Cervidae","Conf3","nocturnal/crepuscular"
"Dama dama","Cervidae","Conf3.1","diurnal"
"Dama dama","Cervidae","Conf3.2","diurnal/crepuscular"
"Mazama americana","Cervidae","Conf3","nocturnal"
"Mazama americana","Cervidae","Conf3.1","nocturnal/crepuscular"
"Mazama americana","Cervidae","Conf3.2","nocturnal"
"Mazama americana","Cervidae","Conf3.3","nocturnal/crepuscular"
"Mazama americana","Cervidae","Conf3.4","nocturnal/crepuscular"
"Mazama rufina","Cervidae","Conf3","nocturnal"
"Mazama rufina","Cervidae","Conf3.1","nocturnal"
"Mazama rufina","Cervidae","Conf3.2","nocturnal/crepuscular"
"Muntiacus muntjak","Cervidae","Conf3","cathemeral/crepuscular"
"Muntiacus muntjak","Cervidae","Conf3.1","cathemeral/crepuscular"
"Muntiacus muntjak","Cervidae","Conf3.2","diurnal/crepuscular"
"Muntiacus muntjak","Cervidae","Conf3.3","diurnal/crepuscular"
"Muntiacus muntjak","Cervidae","Conf3.4","cathemeral/crepuscular"
"Nesotragus moschatus","Bovidae","Conf3","nocturnal/crepuscular"
"Nesotragus moschatus","Bovidae","Conf3.1","nocturnal/crepuscular"
"Nesotragus moschatus","Bovidae","Conf3.2","nocturnal/crepuscular"
"Philantomba monticola","Bovidae","Conf3","diurnal"
"Philantomba monticola","Bovidae","Conf3.1","diurnal/crepuscular"
"Philantomba monticola","Bovidae","Conf3.2","diurnal/crepuscular"
"Philantomba monticola","Bovidae","Conf3.4","cathemeral/crepuscular"
"Philantomba monticola","Bovidae","Conf3.5","diurnal"
"Philantomba monticola","Bovidae","Conf4.3","cathemeral/crepuscular"
"Sus barbatus","Suidae","Conf3","diurnal/crepuscular"
"Sus barbatus","Suidae","Conf3.1","diurnal/crepuscular"
"Sus barbatus","Suidae","Conf3.2","diurnal/crepuscular"
"Sus scrofa","Suidae","Conf3","cathemeral"
"Sus scrofa","Suidae","Conf3.1","nocturnal"
"Sus scrofa","Suidae","Conf3.2","nocturnal"
"Sus scrofa","Suidae","Conf3.3","nocturnal"
"Sus scrofa","Suidae","Conf3.4","diurnal"
"Sus scrofa","Suidae","Conf3.5","nocturnal/crepuscular"
"Sylvicapra grimmia","Bovidae","Conf3","nocturnal/crepuscular"
"Sylvicapra grimmia","Bovidae","Conf3.1","nocturnal/crepuscular"
"Sylvicapra grimmia","Bovidae","Conf3.2","nocturnal/crepuscular"
"Tragulus napu","Tragulidae","Conf3","cathemeral"
"Tragulus napu","Tragulidae","Conf3.1","cathemeral/crepuscular"
"Tragulus napu","Tragulidae","Conf3.2","nocturnal"
"Ourebia ourebi","Bovidae","Conf2.1","unclear/crepuscular"
"Ourebia ourebi","Bovidae","Conf2.2","unclear/crepuscular"
"Ourebia ourebi","Bovidae","Conf3","diurnal"
"Tragelaphus spekii","Bovidae","Conf2.1","unclear/crepuscular"
"Tragelaphus spekii","Bovidae","Conf2.2","unclear/crepuscular"
"Tragelaphus spekii","Bovidae","Conf3","cathemeral/crepuscular"
"Muntiacus vuquangensis","Cervidae","Conf1.2","cathemeral"
"Muntiacus vuquangensis","Cervidae","Conf3","diurnal"
"Muntiacus vuquangensis","Cervidae","Conf3.1","cathemeral"
"Camelus bactrianus","Camelidae","Conf1.1","diurnal"
"Camelus bactrianus","Camelidae","Conf3","diurnal"
"Boselaphus tragocamelus","Bovidae","Conf2.1","unclear/crepuscular"
"Boselaphus tragocamelus","Bovidae","Conf3","nocturnal/crepuscular"
"Capra aegagrus","Bovidae","Conf2.1","unclear/crepuscular"
"Capra aegagrus","Bovidae","Conf3","diurnal"
"Cervus albirostris","Cervidae","Conf2.1","unclear/crepuscular"
"Cervus albirostris","Cervidae","Conf3","cathemeral/crepuscular"
"Pantholops hodgsonii","Bovidae","Conf2.1","unclear/crepuscular"
"Pantholops hodgsonii","Bovidae","Conf3","diurnal/crepuscular"
"Pseudois nayaur","Bovidae","Conf2.1","unclear/crepuscular"
"Pseudois nayaur","Bovidae","Conf3","diurnal/crepuscular"
"Axis kuhlii","Cervidae","Conf3","cathemeral"
"Axis kuhlii","Cervidae","Conf3.1","cathemeral"
"Bos javanicus","Bovidae","Conf3","cathemeral"
"Bos javanicus","Bovidae","Conf3.1","nocturnal"
"Cephalophus harveyi","Bovidae","Conf3","diurnal/crepuscular"
"Cephalophus harveyi","Bovidae","Conf3.1","cathemeral"
"Gazella gazella","Bovidae","Conf3","cathemeral/crepuscular"
"Gazella gazella","Bovidae","Conf3.1","cathemeral"
"Giraffa camelopardalis","Giraffidae","Conf3","cathemeral/crepuscular"
"Giraffa camelopardalis","Giraffidae","Conf3.1","cathemeral/crepuscular"
"Neotragus batesi","Bovidae","Conf3","nocturnal/crepuscular"
"Neotragus batesi","Bovidae","Conf3.1","nocturnal/crepuscular"
"Sus verrucosus","Suidae","Conf3","cathemeral/crepuscular"
"Sus verrucosus","Suidae","Conf3.1","nocturnal/crepuscular"
"Lama guanicoe","Camelidae","Conf1.1","unclear"
"Lama guanicoe","Camelidae","Conf3","diurnal"
"Gazella subgutturosa","Bovidae","Conf1.1","cathemeral/crepuscular"
"Gazella subgutturosa","Bovidae","Conf2","diurnal/crepuscular"
"Gazella subgutturosa","Bovidae","Conf2.2","unclear/crepuscular"
"Elaphurus davidianus","Cervidae","Conf2","diurnal"
"Elaphurus davidianus","Cervidae","Conf2.1","unclear/crepuscular"
"Elaphurus davidianus","Cervidae","Conf4.2","diurnal"
"Addax nasomaculatus","Bovidae","Conf1.1","unclear/crepuscular"
"Addax nasomaculatus","Bovidae","Conf2","unclear/crepuscular"
"Bubalus arnee","Bovidae","Conf1.1","cathemeral"
"Bubalus arnee","Bovidae","Conf2","diurnal"
"Capra falconeri","Bovidae","Conf2","diurnal/crepuscular"
"Capra falconeri","Bovidae","Conf2.1","diurnal/crepuscular"
"Capra walie","Bovidae","Conf2","unclear/crepuscular"
"Capra walie","Bovidae","Conf2.1","unclear/crepuscular"
"Damaliscus pygargus","Bovidae","Conf1.1","diurnal"
"Damaliscus pygargus","Bovidae","Conf2","unclear/crepuscular"
"Gazella bennettii","Bovidae","Conf1.1","nocturnal"
"Gazella bennettii","Bovidae","Conf2","diurnal/crepuscular"
"Hemitragus jemlahicus","Bovidae","Conf2","cathemeral/crepuscular"
"Hemitragus jemlahicus","Bovidae","Conf2.1","unclear/crepuscular"
"Kobus ellipsiprymnus","Bovidae","Conf1.1","cathemeral/crepuscular"
"Kobus ellipsiprymnus","Bovidae","Conf2","unclear/crepuscular"
"Kobus leche","Bovidae","Conf2","unclear/crepuscular"
"Kobus leche","Bovidae","Conf2.1","unclear/crepuscular"
"Moschus leucogaster","Moschidae","Conf1.1","nocturnal/crepuscular"
"Moschus leucogaster","Moschidae","Conf2","unclear/crepuscular"
"Procapra picticaudata","Bovidae","Conf2","unclear/crepuscular"
"Procapra picticaudata","Bovidae","Conf2.1","unclear/crepuscular"
"Procapra przewalskii","Bovidae","Conf2","diurnal/crepuscular"
"Procapra przewalskii","Bovidae","Conf2.1","diurnal/crepuscular"
"Rupicapra pyrenaica","Bovidae","Conf2","unclear/crepuscular"
