"","tips","Diel_Pattern_1","Diel_Pattern_2","Diel_Pattern_3","NA","NA"
"137","Redunca redunca","Redunca redunca",NA,"cathemeral","cathemeral","Redunca_redunca"
"138","Rucervus duvaucelii","Rucervus duvaucelii",NA,"cathemeral","cathemeral","Rucervus_duvaucelii"
"139","Rucervus eldii","Rucervus eldii",NA,"crepuscular","crepuscular","Rucervus_eldii"
"140","Rupicapra pyrenaica","Rupicapra pyrenaica","diurnal","diurnal","diurnal","Rupicapra_pyrenaica"
"141","Rupicapra rupicapra","Rupicapra rupicapra","diurnal","diurnal","diurnal","Rupicapra_rupicapra"
"142","Rusa timorensis","Rusa timorensis","nocturnal","nocturnal","nocturnal","Rusa_timorensis"
"143","Rusa unicolor","Rusa unicolor","nocturnal","nocturnal/crepuscular","crepuscular","Rusa_unicolor"
"144","Saiga tatarica","Saiga tatarica","diurnal","diurnal","diurnal","Saiga_tatarica"
"145","Sus barbatus","Sus barbatus","nocturnal","nocturnal/crepuscular","crepuscular","Sus_barbatus"
"146","Sus cebifrons","Sus cebifrons","nocturnal","nocturnal/crepuscular","crepuscular","Sus_cebifrons"
"147","Sus celebensis","Sus celebensis","diurnal","diurnal/crepuscular","crepuscular","Sus_celebensis"
"148","Sus philippensis","Sus philippensis","nocturnal","nocturnal/crepuscular","crepuscular","Sus_philippensis"
"149","Sus salvanius","Sus salvanius","nocturnal","nocturnal/crepuscular","crepuscular","Sus_salvanius"
"150","Sus scrofa","Sus scrofa","nocturnal","nocturnal/crepuscular","crepuscular","Sus_scrofa"
"151","Sylvicapra grimmia","Sylvicapra grimmia",NA,"cathemeral","cathemeral","Sylvicapra_grimmia"
