Species,state
Rana_japonica,0
Rana_latouchii,1
Rana_lessonae,1
Rana_longicrus,1
Rana_luteiventris,1
Rana_macrocnemis,1
Rana_muscosa,0
Rana_narina,1
Rana_nigromaculata,1
Rana_palmipes,1
Rana_palustris,1
Rana_pipiens,1
Rana_pretiosa,0
Rana_ridibunda,1
Rana_rugosa,1
Rana_signata,1
Rana_swinhoana,1
Rana_sylvatica,0
Rana_tarahumarae,1
Rana_temporaria,1
Rana_vaillanti,1
Rana_warszewitschii,0
Staurois_latopalmatus,1
Staurois_natator,1
Buergeria_buergeri,1
Buergeria_japonica,1
Chiromantis_rufescens,1
Chiromantis_xerampelina,1
Kurixalus_eiffingeri,1
Nyctixalus_pictus,1
Polypedates_cruciger,1
Polypedates_leucomystax,1
Polypedates_maculatus,1
Polypedates_megacephalus,1
Rhacophorus_arboreus,1
Rhacophorus_bipunctatus,1
Rhacophorus_lateralis,1
Rhacophorus_reinwardtii,1
Rhacophorus_schlegelii,1
Rhinophrynus_dorsalis,1
Scaphiopus_couchii,1
Scaphiopus_holbrookii,1
Spea_bombifrons,1
Spea_hammondii,1
Spea_intermontana,1
Spea_multiplicata,1
Ambystoma_gracile,1
Ambystoma_mexicanum,1
Ambystoma_opacum,1
Amphiuma_means,1
Andrias_japonicus,1
Cryptobranchus_alleganiensis,1
Dicamptodon_tenebrosus,1
Batrachuperus_tibetanus,1
Hynobius_nebulosus,1
Pseudohynobius_flavomaculatus,1
Aneides_lugubris,1
Batrachoseps_pacificus,1
Bolitoglossa_dunni,1
Bolitoglossa_longissima,1
Bolitoglossa_rufescens,1
Bolitoglossa_subpalmata,1
Bradytriton_silus,1
Desmognathus_monticola,1
Desmognathus_ochrophaeus,1
Desmognathus_quadramaculatus,1
Ensatina_eschscholtzii,0
Eurycea_longicauda,1
Gyrinophilus_porphyriticus,1
Hydromantes_platycephalus,1
Ixalotriton_niger,1
Nototriton_barbouri,1
Nyctanolis_pernix,1
Phaeognathus_hubrichti,1
Plethodon_cinereus,1
Plethodon_elongatus,1
Plethodon_wehrlei,1
Plethodon_yonahlossee,1
Pseudoeurycea_bellii,1
Pseudotriton_ruber,1
Necturus_maculosus,1
Rhyacotriton_olympicus,1
Chioglossa_lusitanica,1
Echinotriton_chinhaiensis,1
Calotriton_asper,1
Notophthalmus_viridescens,0
Pachytriton_labiatus,1
Salamandra_salamandra,1
Salamandrina_perspicillata,1
Taricha_rivularis,1
Triturus_marmoratus,1
Siren_intermedia,1
Dermophis_mexicanus,1
Boulengerula_taitana,1
Scolecomorphus_vittatus,1
Siphonops_annulatus,1
Amblysomus_hottentotus,0
Chrysochloris_asiatica,1
Echinops_telfairi,1
Orycteropus_afer,1
Antilocapra_americana,1
Bos_taurus,0
Lama_glama,0
Cervus_nippon,1
Okapia_johnstoni,0
Hippopotamus_amphibius,1
Sus_scrofa,0
Pecari_tajacu,1
Tragulus_napu,1
Canis_lupus,1
Fossa_fossana,1
Felis_catus,1
Suricata_suricatta,0
Crocuta_crocuta,1
Mephitis_mephitis,1
Meles_meles,1
Nandinia_binotata,1
Odobenus_rosmarus,1
Arctocephalus_forsteri,1
Phoca_vitulina,1
Procyon_lotor,1
Ailuropoda_melanoleuca,1
Genetta_genetta,1
Megaptera_novaeangliae,1
Tursiops_truncatus,1
Eschrichtius_robustus,1
Kogia_breviceps,1
Phocoena_phocoena,1
Platanista_minor,1
Craseonycteris_thonglongyai,1
Coleura_afra,1
Emballonura_atrata,1
Taphozous_mauritianus,1
Furipterus_horrens,1
Cloeotis_percivali,1
Hipposideros_commersoni,1
Megaderma_lyra,1
Miniopterus_manavi,1
Chaerephon_pumilus,1
Eumops_glaucinus,1
Mops_condylurus,1
Sauromys_petrophilus,1
Nyctinomops_femorosaccus,1
Otomops_martiensseni,1
Tadarida_brasiliensis,1
Mormoops_megalophylla,1
Pteronotus_parnellii,1
Mystacina_tuberculata,1
Nycteris_thebaica,1
Artibeus_jamaicensis,1
Choeronycteris_mexicana,1
Leptonycteris_yerbabuenae,1
Macrotus_californicus,1
Eidolon_helvum,1
Epomops_dobsonii,1
Epomophorus_gambianus,1
Lissonycteris_angolensis,1
Pteropus_giganteus,1
Rousettus_aegyptiacus,1
Rhinolophus_creaghi,1
Rhinopoma_hardwickii,1
Thyroptera_tricolor,1
Antrozous_pallidus,1
Glauconycteris_variegata,1
Corynorhinus_rafinesquii,1
Eptesicus_fuscus,1
Euderma_maculatum,1
